Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.92,-0.516,5.520000000000001e-05,0.9404761904761905,0.0
1,0.936,-0.512,5.6160000000000004e-05,0.9523809523809523,0.01
2,0.936,-0.512,5.6160000000000004e-05,0.9523809523809523,0.02
3,0.92,-0.516,5.520000000000001e-05,0.9404761904761905,0.03
4,0.92,-0.512,5.520000000000001e-05,0.9523809523809523,0.04
5,0.944,-0.52,5.664e-05,0.9285714285714285,0.05
6,0.944,-0.52,5.664e-05,0.9285714285714285,0.06
7,0.928,-0.52,5.568e-05,0.9285714285714285,0.07
8,0.92,-0.52,5.520000000000001e-05,0.9285714285714285,0.08
9,0.944,-0.52,5.664e-05,0.9285714285714285,0.09
10,0.936,-0.52,5.6160000000000004e-05,0.9285714285714285,0.1
11,0.952,-0.52,5.712e-05,0.9285714285714285,0.11
12,0.952,-0.516,5.712e-05,0.9404761904761905,0.12
13,0.928,-0.524,5.568e-05,0.9166666666666666,0.13
14,0.928,-0.524,5.568e-05,0.9166666666666666,0.14
15,0.952,-0.524,5.712e-05,0.9166666666666666,0.15
16,0.928,-0.524,5.568e-05,0.9166666666666666,0.16
17,0.952,-0.528,5.712e-05,0.9047619047619047,0.17
18,0.952,-0.524,5.712e-05,0.9166666666666666,0.18
19,0.928,-0.532,5.568e-05,0.8928571428571428,0.19
20,0.952,-0.532,5.712e-05,0.8928571428571428,0.2
21,0.936,-0.54,5.6160000000000004e-05,0.869047619047619,0.21
22,0.944,-0.54,5.664e-05,0.869047619047619,0.22
23,0.968,-0.548,5.808e-05,0.8452380952380951,0.23
24,0.936,-0.548,5.6160000000000004e-05,0.8452380952380951,0.24
25,0.96,-0.56,5.76e-05,0.8095238095238093,0.25
26,0.952,-0.56,5.712e-05,0.8095238095238093,0.26
27,0.96,-0.584,5.76e-05,0.7380952380952381,0.27
28,0.96,-0.588,5.76e-05,0.7261904761904763,0.28
29,0.944,-0.624,5.664e-05,0.619047619047619,0.29
30,0.944,-0.632,5.664e-05,0.5952380952380951,0.3
31,0.96,-0.68,5.76e-05,0.45238095238095216,0.31
32,0.96,-0.692,5.76e-05,0.41666666666666674,0.32
33,0.952,-0.728,5.712e-05,0.3095238095238095,0.33
34,0.944,-0.74,5.664e-05,0.2738095238095237,0.34
35,0.968,-0.728,5.808e-05,0.3095238095238095,0.35000000000000003
36,0.952,-0.724,5.712e-05,0.3214285714285714,0.36
37,0.968,-0.684,5.808e-05,0.44047619047619024,0.37
38,0.968,-0.68,5.808e-05,0.45238095238095216,0.38
39,0.952,-0.624,5.712e-05,0.619047619047619,0.39
40,0.968,-0.62,5.808e-05,0.6309523809523809,0.4
41,0.96,-0.588,5.76e-05,0.7261904761904763,0.41000000000000003
42,0.96,-0.584,5.76e-05,0.7380952380952381,0.42
43,0.968,-0.56,5.808e-05,0.8095238095238093,0.43
44,0.96,-0.56,5.76e-05,0.8095238095238093,0.44
45,0.976,-0.544,5.856e-05,0.857142857142857,0.45
46,0.984,-0.548,5.9040000000000004e-05,0.8452380952380951,0.46
47,0.96,-0.536,5.76e-05,0.8809523809523808,0.47000000000000003
48,0.984,-0.54,5.9040000000000004e-05,0.869047619047619,0.48
49,0.96,-0.532,5.76e-05,0.8928571428571428,0.49
50,0.968,-0.536,5.808e-05,0.8809523809523808,0.5
51,0.976,-0.528,5.856e-05,0.9047619047619047,0.51
52,0.968,-0.528,5.808e-05,0.9047619047619047,0.52
53,0.984,-0.524,5.9040000000000004e-05,0.9166666666666666,0.53
54,0.968,-0.52,5.808e-05,0.9285714285714285,0.54
55,0.992,-0.524,5.952e-05,0.9166666666666666,0.55
56,0.992,-0.52,5.952e-05,0.9285714285714285,0.56
57,0.968,-0.524,5.808e-05,0.9166666666666666,0.5700000000000001
58,0.992,-0.52,5.952e-05,0.9285714285714285,0.58
59,0.976,-0.516,5.856e-05,0.9404761904761905,0.59
60,0.976,-0.516,5.856e-05,0.9404761904761905,0.6
61,0.992,-0.52,5.952e-05,0.9285714285714285,0.61
62,1.0,-0.52,6e-05,0.9285714285714285,0.62
63,-0.008,-0.512,-4.800000000000001e-07,0.9523809523809523,0.63
