Sequence,CH1,CH2,voltage,Bfield,CH2norm,time
0,0.67,0.1,207.6,0.00039065396363636366,0.7183098591549311,0.0
1,0.658,0.101,207.6,0.00038993396363636365,0.8591549295774665,0.005
2,0.662,0.0999,207.6,0.0003901739636363637,0.7042253521126771,0.01
3,0.674,0.1,207.6,0.00039089396363636364,0.7183098591549311,0.015
4,0.66,0.101,207.6,0.00039005396363636364,0.8591549295774665,0.02
5,0.674,0.0999,207.6,0.00039089396363636364,0.7042253521126771,0.025
6,0.662,0.0999,207.6,0.0003901739636363637,0.7042253521126771,0.03
7,0.672,0.1,207.6,0.00039077396363636365,0.7183098591549311,0.035
8,0.662,0.0999,207.6,0.0003901739636363637,0.7042253521126771,0.04
9,0.674,0.1,207.6,0.00039089396363636364,0.7183098591549311,0.045
10,0.66,0.1,207.6,0.00039005396363636364,0.7183098591549311,0.05
11,0.672,0.1,207.6,0.00039077396363636365,0.7183098591549311,0.055
12,0.662,0.1,207.6,0.0003901739636363637,0.7183098591549311,0.06
13,0.67,0.0998,207.6,0.00039065396363636366,0.6901408450704232,0.065
14,0.66,0.1,207.6,0.00039005396363636364,0.7183098591549311,0.07
15,0.674,0.0998,207.6,0.00039089396363636364,0.6901408450704232,0.075
16,0.674,0.1,207.6,0.00039089396363636364,0.7183098591549311,0.08
17,0.664,0.101,207.6,0.0003902939636363637,0.8591549295774665,0.085
18,0.674,0.101,207.6,0.00039089396363636364,0.8591549295774665,0.09
19,0.66,0.0997,207.6,0.00039005396363636364,0.6760563380281693,0.095
20,0.674,0.1,207.6,0.00039089396363636364,0.7183098591549311,0.1
21,0.664,0.1,207.6,0.0003902939636363637,0.7183098591549311,0.105
22,0.674,0.0998,207.6,0.00039089396363636364,0.6901408450704232,0.11
23,0.664,0.101,207.6,0.0003902939636363637,0.8591549295774665,0.115
24,0.674,0.1,207.6,0.00039089396363636364,0.7183098591549311,0.12
25,0.664,0.1,207.6,0.0003902939636363637,0.7183098591549311,0.125
26,0.664,0.101,207.6,0.0003902939636363637,0.8591549295774665,0.13
27,0.674,0.0998,207.6,0.00039089396363636364,0.6901408450704232,0.135
28,0.664,0.1,207.6,0.0003902939636363637,0.7183098591549311,0.14
29,0.676,0.101,207.6,0.0003910139636363637,0.8591549295774665,0.145
30,0.664,0.1,207.6,0.0003902939636363637,0.7183098591549311,0.15
31,0.676,0.1,207.6,0.0003910139636363637,0.7183098591549311,0.155
32,0.664,0.0998,207.6,0.0003902939636363637,0.6901408450704232,0.16
33,0.68,0.1,207.6,0.0003912539636363637,0.7183098591549311,0.165
34,0.664,0.1,207.6,0.0003902939636363637,0.7183098591549311,0.17
35,0.678,0.1,207.6,0.0003911339636363637,0.7183098591549311,0.17500000000000002
36,0.666,0.1,207.6,0.0003904139636363637,0.7183098591549311,0.18
37,0.678,0.0999,207.6,0.0003911339636363637,0.7042253521126771,0.185
38,0.664,0.101,207.6,0.0003902939636363637,0.8591549295774665,0.19
39,0.676,0.0998,207.6,0.0003910139636363637,0.6901408450704232,0.195
40,0.676,0.1,207.6,0.0003910139636363637,0.7183098591549311,0.2
41,0.666,0.0998,207.6,0.0003904139636363637,0.6901408450704232,0.20500000000000002
42,0.678,0.1,207.6,0.0003911339636363637,0.7183098591549311,0.21
43,0.664,0.1,207.6,0.0003902939636363637,0.7183098591549311,0.215
44,0.678,0.0999,207.6,0.0003911339636363637,0.7042253521126771,0.22
45,0.668,0.1,207.6,0.00039053396363636367,0.7183098591549311,0.225
46,0.676,0.1,207.6,0.0003910139636363637,0.7183098591549311,0.23
47,0.668,0.1,207.6,0.00039053396363636367,0.7183098591549311,0.23500000000000001
48,0.68,0.1,207.6,0.0003912539636363637,0.7183098591549311,0.24
49,0.666,0.101,207.6,0.0003904139636363637,0.8591549295774665,0.245
50,0.668,0.0998,207.6,0.00039053396363636367,0.6901408450704232,0.25
51,0.678,0.1,207.6,0.0003911339636363637,0.7183098591549311,0.255
52,0.67,0.101,207.6,0.00039065396363636366,0.8591549295774665,0.26
53,0.678,0.0998,207.6,0.0003911339636363637,0.6901408450704232,0.265
54,0.666,0.1,207.6,0.0003904139636363637,0.7183098591549311,0.27
55,0.678,0.0998,207.6,0.0003911339636363637,0.6901408450704232,0.275
56,0.666,0.1,207.6,0.0003904139636363637,0.7183098591549311,0.28
57,0.678,0.1,207.6,0.0003911339636363637,0.7183098591549311,0.28500000000000003
58,0.668,0.1,207.6,0.00039053396363636367,0.7183098591549311,0.29
