Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.384,0.0954,0.00018324270303030305,0.9438202247191011,0.0
1,0.376,0.095,0.00018276270303030305,0.8988764044943823,0.005
2,0.376,0.095,0.00018276270303030305,0.8988764044943823,0.01
3,0.382,0.0954,0.00018312270303030305,0.9438202247191011,0.015
4,0.372,0.095,0.00018252270303030304,0.8988764044943823,0.02
5,0.382,0.0954,0.00018312270303030305,0.9438202247191011,0.025
6,0.382,0.0951,0.00018312270303030305,0.9101123595505624,0.03
7,0.374,0.0959,0.00018264270303030306,1.0,0.035
8,0.376,0.0959,0.00018276270303030305,1.0,0.04
9,0.384,0.0952,0.00018324270303030305,0.9213483146067425,0.045
10,0.376,0.0947,0.00018276270303030305,0.8651685393258436,0.05
11,0.386,0.0955,0.00018336270303030304,0.9550561797752812,0.055
12,0.376,0.0956,0.00018276270303030305,0.9662921348314613,0.06
13,0.388,0.0952,0.00018348270303030306,0.9213483146067425,0.065
14,0.384,0.0951,0.00018324270303030305,0.9101123595505624,0.07
15,0.374,0.0959,0.00018264270303030306,1.0,0.075
16,0.386,0.0951,0.00018336270303030304,0.9101123595505624,0.08
17,0.376,0.0954,0.00018276270303030305,0.9438202247191011,0.085
18,0.388,0.0951,0.00018348270303030306,0.9101123595505624,0.09
19,0.376,0.0958,0.00018276270303030305,0.9887640449438199,0.095
20,0.378,0.0951,0.00018288270303030304,0.9101123595505624,0.1
21,0.386,0.0958,0.00018336270303030304,0.9887640449438199,0.105
22,0.376,0.0956,0.00018276270303030305,0.9662921348314613,0.11
23,0.388,0.095,0.00018348270303030306,0.8988764044943823,0.115
24,0.376,0.0954,0.00018276270303030305,0.9438202247191011,0.12
25,0.386,0.095,0.00018336270303030304,0.8988764044943823,0.125
26,0.388,0.095,0.00018348270303030306,0.8988764044943823,0.13
27,0.376,0.0955,0.00018276270303030305,0.9550561797752812,0.135
28,0.378,0.0951,0.00018288270303030304,0.9101123595505624,0.14
29,0.384,0.0957,0.00018324270303030305,0.9775280898876398,0.145
30,0.376,0.0951,0.00018276270303030305,0.9101123595505624,0.15
31,0.388,0.0957,0.00018348270303030306,0.9775280898876398,0.155
32,0.388,0.095,0.00018348270303030306,0.8988764044943823,0.16
33,0.378,0.0957,0.00018288270303030304,0.9775280898876398,0.165
34,0.38,0.0951,0.00018300270303030306,0.9101123595505624,0.17
35,0.386,0.0954,0.00018336270303030304,0.9438202247191011,0.17500000000000002
36,0.38,0.0951,0.00018300270303030306,0.9101123595505624,0.18
37,0.388,0.0955,0.00018348270303030306,0.9550561797752812,0.185
38,0.388,0.0956,0.00018348270303030306,0.9662921348314613,0.19
39,0.378,0.095,0.00018288270303030304,0.8988764044943823,0.195
40,0.378,0.0956,0.00018288270303030304,0.9662921348314613,0.2
41,0.392,0.0951,0.00018372270303030304,0.9101123595505624,0.20500000000000002
42,0.386,0.095,0.00018336270303030304,0.8988764044943823,0.21
43,0.378,0.0959,0.00018288270303030304,1.0,0.215
44,0.378,0.0948,0.00018288270303030304,0.8764044943820222,0.22
45,0.39,0.0958,0.00018360270303030305,0.9887640449438199,0.225
46,0.382,0.0957,0.00018312270303030305,0.9775280898876398,0.23
47,0.39,0.095,0.00018360270303030305,0.8988764044943823,0.23500000000000001
48,0.382,0.0954,0.00018312270303030305,0.9438202247191011,0.24
49,0.392,0.0947,0.00018372270303030304,0.8651685393258436,0.245
50,0.382,0.0949,0.00018312270303030305,0.8876404494382022,0.25
51,0.392,0.0955,0.00018372270303030304,0.9550561797752812,0.255
52,0.394,0.0949,0.00018384270303030306,0.8876404494382022,0.26
53,0.378,0.0954,0.00018288270303030304,0.9438202247191011,0.265
54,0.378,0.0956,0.00018288270303030304,0.9662921348314613,0.27
55,0.39,0.0951,0.00018360270303030305,0.9101123595505624,0.275
56,0.382,0.0954,0.00018312270303030305,0.9438202247191011,0.28
57,0.39,0.095,0.00018360270303030305,0.8988764044943823,0.28500000000000003
58,0.392,0.0957,0.00018372270303030304,0.9775280898876398,0.29
