Sequence,CH1,CH2,Bfield,CH2norm,time
0,8.96,4.8,5.376000000000001e-05,0.9763313609467457,0.0
1,9.36,4.2,5.616e-05,0.9585798816568047,0.005
2,9.04,4.8,5.4239999999999996e-05,0.9763313609467457,0.01
3,9.44,4.2,5.664e-05,0.9585798816568047,0.015
4,9.04,4.8,5.4239999999999996e-05,0.9763313609467457,0.02
5,9.44,4.2,5.664e-05,0.9585798816568047,0.025
6,9.36,4.8,5.616e-05,0.9763313609467457,0.03
7,9.04,4.2,5.4239999999999996e-05,0.9585798816568047,0.035
8,9.44,4.8,5.664e-05,0.9763313609467457,0.04
9,9.04,4.2,5.4239999999999996e-05,0.9585798816568047,0.045
10,9.12,4.8,5.472e-05,0.9763313609467457,0.05
11,9.44,4.2,5.664e-05,0.9585798816568047,0.055
12,9.12,4.8,5.472e-05,0.9763313609467457,0.06
13,9.52,4.2,5.712e-05,0.9585798816568047,0.065
14,9.52,4.2,5.712e-05,0.9585798816568047,0.07
15,9.12,4.8,5.472e-05,0.9763313609467457,0.075
16,9.12,4.8,5.472e-05,0.9763313609467457,0.08
17,9.52,4.0,5.712e-05,0.9526627218934913,0.085
18,9.52,4.2,5.712e-05,0.9585798816568047,0.09
19,9.2,4.8,5.52e-05,0.9763313609467457,0.095
20,9.2,4.6,5.52e-05,0.9704142011834319,0.1
21,9.6,4.0,5.7600000000000004e-05,0.9526627218934913,0.105
22,9.2,4.6,5.52e-05,0.9704142011834319,0.11
23,9.6,4.0,5.7600000000000004e-05,0.9526627218934913,0.115
24,9.6,4.6,5.7600000000000004e-05,0.9704142011834319,0.12
25,9.2,4.0,5.52e-05,0.9526627218934913,0.125
26,9.2,4.6,5.52e-05,0.9704142011834319,0.13
27,9.6,4.0,5.7600000000000004e-05,0.9526627218934913,0.135
28,9.6,4.0,5.7600000000000004e-05,0.9526627218934913,0.14
29,9.2,4.6,5.52e-05,0.9704142011834319,0.145
30,9.36,4.0,5.616e-05,0.9526627218934913,0.15
31,9.68,4.6,5.808e-05,0.9704142011834319,0.155
32,9.36,4.0,5.616e-05,0.9526627218934913,0.16
33,9.68,4.6,5.808e-05,0.9704142011834319,0.165
34,9.36,4.6,5.616e-05,0.9704142011834319,0.17
35,9.76,3.8,5.856e-05,0.9467455621301776,0.17500000000000002
36,9.36,4.4,5.616e-05,0.9644970414201185,0.18
37,9.68,3.8,5.808e-05,0.9467455621301776,0.185
38,9.36,3.8,5.616e-05,0.9467455621301776,0.19
39,9.76,4.4,5.856e-05,0.9644970414201185,0.195
40,9.76,4.2,5.856e-05,0.9585798816568047,0.2
41,9.44,3.6,5.664e-05,0.940828402366864,0.20500000000000002
42,9.44,4.2,5.664e-05,0.9585798816568047,0.21
43,9.76,3.4,5.856e-05,0.9349112426035503,0.215
44,9.44,4.0,5.664e-05,0.9526627218934913,0.22
45,9.76,3.2,5.856e-05,0.9289940828402368,0.225
46,9.44,3.8,5.664e-05,0.9467455621301776,0.23
47,9.76,3.0,5.856e-05,0.9230769230769231,0.23500000000000001
48,9.44,3.6,5.664e-05,0.940828402366864,0.24
49,9.76,2.6,5.856e-05,0.911242603550296,0.245
50,9.52,2.8,5.712e-05,0.9171597633136096,0.25
51,9.84,1.8,5.9040000000000004e-05,0.8875739644970415,0.255
52,9.52,2.2,5.712e-05,0.8994082840236687,0.26
53,9.84,0.8,5.9040000000000004e-05,0.8579881656804734,0.265
54,9.52,1.2,5.712e-05,0.8698224852071006,0.27
55,9.92,-1.6,5.9520000000000006e-05,0.7869822485207101,0.275
56,9.52,-1.4,5.712e-05,0.7928994082840237,0.28
57,9.84,-5.0,5.9040000000000004e-05,0.6863905325443788,0.28500000000000003
58,9.52,-4.8,5.712e-05,0.6923076923076923,0.29
59,9.92,-12.6,5.9520000000000006e-05,0.46153846153846156,0.295
60,9.92,-12.4,5.9520000000000006e-05,0.46745562130177515,0.3
61,9.52,-19.6,5.712e-05,0.2544378698224852,0.305
62,9.92,-19.6,5.9520000000000006e-05,0.2544378698224852,0.31
63,9.6,-16.0,5.7600000000000004e-05,0.3609467455621302,0.315
64,9.92,-16.2,5.9520000000000006e-05,0.3550295857988166,0.32
65,9.6,-9.4,5.7600000000000004e-05,0.5562130177514792,0.325
66,9.92,-9.2,5.9520000000000006e-05,0.562130177514793,0.33
67,9.6,-4.8,5.7600000000000004e-05,0.6923076923076923,0.335
68,9.6,-5.2,5.7600000000000004e-05,0.6804733727810651,0.34
69,10.0,-1.6,6.000000000000001e-05,0.7869822485207101,0.34500000000000003
70,9.68,-2.0,5.808e-05,0.7751479289940829,0.35000000000000003
71,10.0,0.2,6.000000000000001e-05,0.8402366863905326,0.355
72,10.0,0.8,6.000000000000001e-05,0.8579881656804734,0.36
73,-0.16,-2.0,-9.600000000000001e-07,0.7751479289940829,0.365
74,0.16,-1.2,9.600000000000001e-07,0.7988165680473374,0.37
75,-0.08,2.8,-4.800000000000001e-07,0.9171597633136096,0.375
76,0.16,2.8,9.600000000000001e-07,0.9171597633136096,0.38
77,-0.08,4.4,-4.800000000000001e-07,0.9644970414201185,0.385
78,0.0,4.0,0.0,0.9526627218934913,0.39
79,0.16,4.8,9.600000000000001e-07,0.9763313609467457,0.395
80,0.16,4.4,9.600000000000001e-07,0.9644970414201185,0.4
81,0.0,5.2,0.0,0.9881656804733728,0.405
82,0.0,5.4,0.0,0.9940828402366865,0.41000000000000003
83,0.24,4.6,1.44e-06,0.9704142011834319,0.41500000000000004
84,0.24,4.8,1.44e-06,0.9763313609467457,0.42
85,0.0,5.4,0.0,0.9940828402366865,0.425
86,0.24,5.4,1.44e-06,0.9940828402366865,0.43
87,0.0,4.8,0.0,0.9763313609467457,0.435
88,0.24,5.0,1.44e-06,0.9822485207100593,0.44
89,0.08,5.6,4.800000000000001e-07,1.0,0.445
90,0.08,5.0,4.800000000000001e-07,0.9822485207100593,0.45
91,0.32,5.6,1.9200000000000003e-06,1.0,0.455
92,0.08,5.6,4.800000000000001e-07,1.0,0.46
93,0.32,5.0,1.9200000000000003e-06,0.9822485207100593,0.465
94,0.08,5.0,4.800000000000001e-07,0.9822485207100593,0.47000000000000003
95,0.32,5.6,1.9200000000000003e-06,1.0,0.47500000000000003
96,0.32,5.4,1.9200000000000003e-06,0.9940828402366865,0.48
97,0.08,5.0,4.800000000000001e-07,0.9822485207100593,0.485
98,0.32,5.0,1.9200000000000003e-06,0.9822485207100593,0.49
99,0.16,5.6,9.600000000000001e-07,1.0,0.495
100,0.16,5.0,9.600000000000001e-07,0.9822485207100593,0.5
101,0.32,5.6,1.9200000000000003e-06,1.0,0.505
102,0.16,5.0,9.600000000000001e-07,0.9822485207100593,0.51
103,0.4,5.6,2.4e-06,1.0,0.515
104,0.4,5.0,2.4e-06,0.9822485207100593,0.52
105,0.16,5.6,9.600000000000001e-07,1.0,0.525
106,0.48,5.0,2.88e-06,0.9822485207100593,0.53
107,0.24,5.6,1.44e-06,1.0,0.535
108,0.4,5.0,2.4e-06,0.9822485207100593,0.54
109,0.16,5.6,9.600000000000001e-07,1.0,0.545
110,0.24,5.0,1.44e-06,0.9822485207100593,0.55
111,0.48,5.6,2.88e-06,1.0,0.555
112,0.24,5.0,1.44e-06,0.9822485207100593,0.56
113,0.56,5.6,3.3600000000000004e-06,1.0,0.5650000000000001
114,0.24,5.0,1.44e-06,0.9822485207100593,0.5700000000000001
115,0.56,5.6,3.3600000000000004e-06,1.0,0.5750000000000001
116,0.56,5.0,3.3600000000000004e-06,0.9822485207100593,0.58
117,0.32,5.4,1.9200000000000003e-06,0.9940828402366865,0.585
118,0.32,5.0,1.9200000000000003e-06,0.9822485207100593,0.59
119,0.64,5.6,3.8400000000000005e-06,1.0,0.595
120,0.56,5.6,3.3600000000000004e-06,1.0,0.6
121,0.32,5.0,1.9200000000000003e-06,0.9822485207100593,0.605
122,0.32,5.6,1.9200000000000003e-06,1.0,0.61
123,0.64,4.8,3.8400000000000005e-06,0.9763313609467457,0.615
124,0.64,5.6,3.8400000000000005e-06,1.0,0.62
125,0.32,4.8,1.9200000000000003e-06,0.9763313609467457,0.625
126,0.4,5.0,2.4e-06,0.9822485207100593,0.63
127,0.64,5.6,3.8400000000000005e-06,1.0,0.635
128,0.64,5.6,3.8400000000000005e-06,1.0,0.64
129,0.4,5.0,2.4e-06,0.9822485207100593,0.645
130,0.48,5.0,2.88e-06,0.9822485207100593,0.65
131,0.72,5.6,4.32e-06,1.0,0.655
132,0.48,5.0,2.88e-06,0.9822485207100593,0.66
133,0.72,5.6,4.32e-06,1.0,0.665
134,0.48,5.0,2.88e-06,0.9822485207100593,0.67
135,0.72,5.6,4.32e-06,1.0,0.675
136,0.72,5.0,4.32e-06,0.9822485207100593,0.68
137,0.48,5.6,2.88e-06,1.0,0.685
138,0.72,5.0,4.32e-06,0.9822485207100593,0.6900000000000001
139,0.48,5.6,2.88e-06,1.0,0.6950000000000001
140,0.56,5.6,3.3600000000000004e-06,1.0,0.7000000000000001
141,0.8,4.8,4.8e-06,0.9763313609467457,0.705
142,0.56,5.0,3.3600000000000004e-06,0.9822485207100593,0.71
143,0.8,5.4,4.8e-06,0.9940828402366865,0.715
144,0.56,5.0,3.3600000000000004e-06,0.9822485207100593,0.72
145,0.8,5.6,4.8e-06,1.0,0.725
146,0.56,5.4,3.3600000000000004e-06,0.9940828402366865,0.73
147,0.8,4.8,4.8e-06,0.9763313609467457,0.735
148,0.8,5.0,4.8e-06,0.9822485207100593,0.74
149,0.56,5.6,3.3600000000000004e-06,1.0,0.745
150,0.64,5.0,3.8400000000000005e-06,0.9822485207100593,0.75
151,0.88,5.4,5.28e-06,0.9940828402366865,0.755
