Sequence,CH1,CH2,Bfield,CH2norm,time
0,1.0,0.976,6.515518322834646e-05,0.9444444444444444,0.0
1,0.984,0.976,6.419518322834647e-05,0.9444444444444444,0.005
2,0.984,0.976,6.419518322834647e-05,0.9444444444444444,0.01
3,1.0,0.976,6.515518322834646e-05,0.9444444444444444,0.015
4,1.0,0.976,6.515518322834646e-05,0.9444444444444444,0.02
5,0.984,0.976,6.419518322834647e-05,0.9444444444444444,0.025
6,1.0,0.976,6.515518322834646e-05,0.9444444444444444,0.03
7,0.988,0.976,6.443518322834647e-05,0.9444444444444444,0.035
8,0.988,0.976,6.443518322834647e-05,0.9444444444444444,0.04
9,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.045
10,0.988,0.984,6.443518322834647e-05,1.0,0.05
11,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.055
12,0.992,0.976,6.467518322834646e-05,0.9444444444444444,0.06
13,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.065
14,0.988,0.976,6.443518322834647e-05,0.9444444444444444,0.07
15,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.075
16,0.992,0.976,6.467518322834646e-05,0.9444444444444444,0.08
17,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.085
18,0.996,0.976,6.491518322834646e-05,0.9444444444444444,0.09
19,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.095
20,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.1
21,0.992,0.984,6.467518322834646e-05,1.0,0.105
22,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.11
23,0.992,0.984,6.467518322834646e-05,1.0,0.115
24,1.01,0.976,6.575518322834646e-05,0.9444444444444444,0.12
25,0.996,0.976,6.491518322834646e-05,0.9444444444444444,0.125
26,1.0,0.984,6.515518322834646e-05,1.0,0.13
27,1.02,0.976,6.635518322834646e-05,0.9444444444444444,0.135
28,1.02,0.976,6.635518322834646e-05,0.9444444444444444,0.14
29,1.0,0.976,6.515518322834646e-05,0.9444444444444444,0.145
