Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.96,0.06,6.470446153846154e-05,0.9358974358974358,0.0
1,0.92,0.056,6.230446153846155e-05,0.9102564102564101,0.005
2,0.9,0.056,6.110446153846155e-05,0.9102564102564101,0.01
3,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.015
4,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.02
5,0.94,0.06,6.350446153846154e-05,0.9358974358974358,0.025
6,0.94,0.056,6.350446153846154e-05,0.9102564102564101,0.03
7,0.96,0.06,6.470446153846154e-05,0.9358974358974358,0.035
8,0.96,0.06,6.470446153846154e-05,0.9358974358974358,0.04
9,0.94,0.056,6.350446153846154e-05,0.9102564102564101,0.045
10,0.94,0.056,6.350446153846154e-05,0.9102564102564101,0.05
11,0.98,0.06,6.590446153846154e-05,0.9358974358974358,0.055
12,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.06
13,0.98,0.058,6.590446153846154e-05,0.923076923076923,0.065
14,0.92,0.056,6.230446153846155e-05,0.9102564102564101,0.07
15,1.0,0.058,6.710446153846154e-05,0.923076923076923,0.075
16,0.96,0.058,6.470446153846154e-05,0.923076923076923,0.08
17,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.085
18,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.09
19,0.98,0.06,6.590446153846154e-05,0.9358974358974358,0.095
20,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.1
21,1.0,0.058,6.710446153846154e-05,0.923076923076923,0.105
22,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.11
23,0.98,0.058,6.590446153846154e-05,0.923076923076923,0.115
24,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.12
25,0.98,0.058,6.590446153846154e-05,0.923076923076923,0.125
26,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.13
27,0.98,0.06,6.590446153846154e-05,0.9358974358974358,0.135
28,1.0,0.056,6.710446153846154e-05,0.9102564102564101,0.14
29,0.96,0.058,6.470446153846154e-05,0.923076923076923,0.145
30,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.15
31,1.0,0.058,6.710446153846154e-05,0.923076923076923,0.155
32,0.98,0.06,6.590446153846154e-05,0.9358974358974358,0.16
33,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.165
34,0.96,0.056,6.470446153846154e-05,0.9102564102564101,0.17
35,1.0,0.058,6.710446153846154e-05,0.923076923076923,0.17500000000000002
36,1.0,0.056,6.710446153846154e-05,0.9102564102564101,0.18
37,0.96,0.058,6.470446153846154e-05,0.923076923076923,0.185
