Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.94,0.056,6.367361538461537e-05,0.8636363636363635,0.0
1,0.94,0.06,6.367361538461537e-05,0.9090909090909091,0.005
2,0.94,0.06,6.367361538461537e-05,0.9090909090909091,0.01
3,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.015
4,0.92,0.06,6.247361538461539e-05,0.9090909090909091,0.02
5,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.025
6,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.03
7,0.92,0.056,6.247361538461539e-05,0.8636363636363635,0.035
8,0.92,0.06,6.247361538461539e-05,0.9090909090909091,0.04
9,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.045
10,0.94,0.06,6.367361538461537e-05,0.9090909090909091,0.05
11,0.96,0.058,6.487361538461538e-05,0.8863636363636362,0.055
12,0.92,0.06,6.247361538461539e-05,0.9090909090909091,0.06
13,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.065
14,0.92,0.06,6.247361538461539e-05,0.9090909090909091,0.07
15,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.075
16,0.94,0.06,6.367361538461537e-05,0.9090909090909091,0.08
17,0.98,0.056,6.607361538461538e-05,0.8636363636363635,0.085
18,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.09
19,0.92,0.056,6.247361538461539e-05,0.8636363636363635,0.095
20,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.1
21,0.94,0.056,6.367361538461537e-05,0.8636363636363635,0.105
22,0.98,0.058,6.607361538461538e-05,0.8863636363636362,0.11
23,0.94,0.06,6.367361538461537e-05,0.9090909090909091,0.115
24,0.98,0.056,6.607361538461538e-05,0.8636363636363635,0.12
25,0.94,0.06,6.367361538461537e-05,0.9090909090909091,0.125
26,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.13
27,1.0,0.06,6.727361538461538e-05,0.9090909090909091,0.135
28,1.0,0.06,6.727361538461538e-05,0.9090909090909091,0.14
29,0.94,0.056,6.367361538461537e-05,0.8636363636363635,0.145
30,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.15
31,0.98,0.058,6.607361538461538e-05,0.8863636363636362,0.155
32,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.16
33,1.0,0.056,6.727361538461538e-05,0.8636363636363635,0.165
34,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.17
35,0.98,0.056,6.607361538461538e-05,0.8636363636363635,0.17500000000000002
36,0.96,0.056,6.487361538461538e-05,0.8636363636363635,0.18
37,0.98,0.06,6.607361538461538e-05,0.9090909090909091,0.185
38,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.19
39,1.0,0.056,6.727361538461538e-05,0.8636363636363635,0.195
40,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.2
41,1.0,0.056,6.727361538461538e-05,0.8636363636363635,0.20500000000000002
42,0.96,0.06,6.487361538461538e-05,0.9090909090909091,0.21
43,1.0,0.058,6.727361538461538e-05,0.8863636363636362,0.215
44,1.0,0.056,6.727361538461538e-05,0.8636363636363635,0.22
45,0.0,0.062,7.273615384615385e-06,0.9318181818181818,0.225
46,-0.02,0.064,6.073615384615384e-06,0.9545454545454545,0.23
47,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.23500000000000001
48,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.24
49,-0.02,0.064,6.073615384615384e-06,0.9545454545454545,0.245
50,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.25
51,-0.02,0.066,6.073615384615384e-06,0.9772727272727273,0.255
52,0.0,0.064,7.273615384615385e-06,0.9545454545454545,0.26
53,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.265
54,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.27
55,-0.02,0.064,6.073615384615384e-06,0.9545454545454545,0.275
56,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.28
57,-0.02,0.066,6.073615384615384e-06,0.9772727272727273,0.28500000000000003
58,0.0,0.064,7.273615384615385e-06,0.9545454545454545,0.29
59,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.295
60,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.3
61,-0.02,0.064,6.073615384615384e-06,0.9545454545454545,0.305
62,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.31
63,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.315
64,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.32
65,-0.02,0.064,6.073615384615384e-06,0.9545454545454545,0.325
66,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.33
67,-0.02,0.066,6.073615384615384e-06,0.9772727272727273,0.335
68,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.34
69,0.0,0.064,7.273615384615385e-06,0.9545454545454545,0.34500000000000003
70,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.35000000000000003
71,0.0,0.064,7.273615384615385e-06,0.9545454545454545,0.355
72,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.36
73,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.365
74,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.37
75,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.375
76,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.38
77,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.385
78,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.39
79,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.395
80,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.4
81,0.0,0.064,7.273615384615385e-06,0.9545454545454545,0.405
82,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.41000000000000003
83,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.41500000000000004
84,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.42
85,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.425
86,0.0,0.066,7.273615384615385e-06,0.9772727272727273,0.43
87,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.435
88,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.44
89,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.445
90,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.45
91,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.455
92,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.46
93,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.465
94,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.47000000000000003
95,0.06,0.064,1.0873615384615384e-05,0.9545454545454545,0.47500000000000003
96,0.04,0.066,9.673615384615385e-06,0.9772727272727273,0.48
97,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.485
98,0.02,0.066,8.473615384615385e-06,0.9772727272727273,0.49
99,0.06,0.064,1.0873615384615384e-05,0.9545454545454545,0.495
100,0.06,0.066,1.0873615384615384e-05,0.9772727272727273,0.5
101,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.505
102,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.51
103,0.06,0.066,1.0873615384615384e-05,0.9772727272727273,0.515
104,0.06,0.066,1.0873615384615384e-05,0.9772727272727273,0.52
105,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.525
106,0.02,0.064,8.473615384615385e-06,0.9545454545454545,0.53
107,0.06,0.066,1.0873615384615384e-05,0.9772727272727273,0.535
108,0.06,0.066,1.0873615384615384e-05,0.9772727272727273,0.54
109,0.04,0.064,9.673615384615385e-06,0.9545454545454545,0.545
