Sequence,CH1,CH2,Bfield
0,8.8,-2.0,0.000528
1,9.12,-1.4,0.0005472
2,9.12,-2.0,0.0005472
3,8.8,-1.4,0.000528
4,8.8,-2.0,0.000528
5,9.12,-1.2,0.0005472
6,8.8,-2.0,0.000528
7,9.2,-1.2,0.0005519999999999999
8,8.88,-2.0,0.0005328
9,9.2,-1.4,0.0005519999999999999
10,8.88,-1.2,0.0005328
11,9.28,-2.0,0.0005567999999999999
12,8.88,-1.2,0.0005328
13,9.2,-2.0,0.0005519999999999999
14,9.2,-1.4,0.0005519999999999999
15,8.88,-2.0,0.0005328
16,8.88,-2.0,0.0005328
17,9.28,-1.2,0.0005567999999999999
18,8.96,-2.0,0.0005376
19,9.28,-1.2,0.0005567999999999999
20,8.96,-1.4,0.0005376
21,9.28,-2.0,0.0005567999999999999
22,9.28,-2.0,0.0005567999999999999
23,8.96,-1.2,0.0005376
24,9.28,-2.0,0.0005567999999999999
25,8.96,-1.2,0.0005376
26,9.28,-1.2,0.0005567999999999999
27,9.04,-2.0,0.0005424
28,9.04,-1.4,0.0005424
29,9.36,-2.0,0.0005616
30,9.04,-2.0,0.0005424
31,9.44,-1.2,0.0005663999999999999
32,9.36,-2.0,0.0005616
33,9.04,-1.2,0.0005424
34,9.36,-2.0,0.0005616
35,9.04,-1.2,0.0005424
36,9.44,-2.0,0.0005663999999999999
37,9.04,-1.2,0.0005424
38,9.12,-2.0,0.0005472
39,9.52,-1.4,0.0005711999999999999
40,9.52,-1.2,0.0005711999999999999
41,9.12,-2.0,0.0005472
42,9.12,-2.0,0.0005472
43,9.52,-1.2,0.0005711999999999999
44,9.12,-1.2,0.0005472
45,9.52,-2.0,0.0005711999999999999
46,9.12,-2.0,0.0005472
47,9.6,-1.2,0.0005759999999999999
48,9.2,-1.2,0.0005519999999999999
49,9.6,-2.0,0.0005759999999999999
50,9.6,-1.4,0.0005759999999999999
51,9.2,-2.0,0.0005519999999999999
