Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.968,-0.08,5.807999999999999e-05,0.9787234042553191,0.0
1,0.976,-0.04,5.8559999999999995e-05,0.9893617021276596,0.005
2,0.984,-0.08,5.903999999999999e-05,0.9787234042553191,0.01
3,0.96,-0.04,5.759999999999999e-05,0.9893617021276596,0.015
4,0.968,-0.08,5.807999999999999e-05,0.9787234042553191,0.02
5,0.984,-0.04,5.903999999999999e-05,0.9893617021276596,0.025
6,0.976,-0.08,5.8559999999999995e-05,0.9787234042553191,0.03
7,0.968,-0.04,5.807999999999999e-05,0.9893617021276596,0.035
8,0.968,-0.08,5.807999999999999e-05,0.9787234042553191,0.04
9,0.984,-0.04,5.903999999999999e-05,0.9893617021276596,0.045
10,0.984,-0.04,5.903999999999999e-05,0.9893617021276596,0.05
11,0.96,-0.08,5.759999999999999e-05,0.9787234042553191,0.055
12,0.976,-0.08,5.8559999999999995e-05,0.9787234042553191,0.06
13,0.984,-0.04,5.903999999999999e-05,0.9893617021276596,0.065
14,0.976,-0.04,5.8559999999999995e-05,0.9893617021276596,0.07
15,0.992,-0.08,5.951999999999999e-05,0.9787234042553191,0.075
16,0.992,-0.08,5.951999999999999e-05,0.9787234042553191,0.08
17,0.976,-0.04,5.8559999999999995e-05,0.9893617021276596,0.085
18,0.984,-0.08,5.903999999999999e-05,0.9787234042553191,0.09
19,0.992,-0.04,5.951999999999999e-05,0.9893617021276596,0.095
20,0.976,-0.08,5.8559999999999995e-05,0.9787234042553191,0.1
21,1.0,-0.04,5.9999999999999995e-05,0.9893617021276596,0.105
22,0.992,-0.04,5.951999999999999e-05,0.9893617021276596,0.11
23,-0.008,-1.0,-4.8e-07,0.7340425531914894,0.115
24,0.008,-3.76,4.8e-07,0.0,0.12
25,-0.008,-1.8,-4.8e-07,0.5212765957446808,0.125
26,0.0,-1.6,0.0,0.5744680851063829,0.13
27,0.008,-0.88,4.8e-07,0.7659574468085106,0.135
28,0.0,-0.8,0.0,0.7872340425531915,0.14
29,0.008,-0.44,4.8e-07,0.8829787234042553,0.145
30,0.0,-0.4,0.0,0.8936170212765958,0.15
31,0.0,-0.2,0.0,0.9468085106382979,0.155
32,0.016,-0.24,9.6e-07,0.9361702127659574,0.16
33,0.0,-0.12,0.0,0.9680851063829787,0.165
34,0.016,-0.12,9.6e-07,0.9680851063829787,0.17
35,0.008,-0.04,4.8e-07,0.9893617021276596,0.17500000000000002
36,0.016,-0.08,9.6e-07,0.9787234042553191,0.18
37,0.008,-0.04,4.8e-07,0.9893617021276596,0.185
38,0.008,0.0,4.8e-07,1.0,0.19
39,0.016,-0.04,9.6e-07,0.9893617021276596,0.195
