Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.92,-0.516,5.5200000000000005e-06,0.9827586206896551,0.0
1,0.944,-0.52,5.664e-06,0.9655172413793103,0.01
2,0.92,-0.52,5.5200000000000005e-06,0.9655172413793103,0.02
3,0.944,-0.516,5.664e-06,0.9827586206896551,0.03
4,0.928,-0.516,5.568e-06,0.9827586206896551,0.04
5,0.944,-0.52,5.664e-06,0.9655172413793103,0.05
6,0.944,-0.516,5.664e-06,0.9827586206896551,0.06
7,0.928,-0.52,5.568e-06,0.9655172413793103,0.07
8,0.944,-0.52,5.664e-06,0.9655172413793103,0.08
9,0.928,-0.516,5.568e-06,0.9827586206896551,0.09
10,0.952,-0.516,5.7120000000000005e-06,0.9827586206896551,0.1
11,0.928,-0.52,5.568e-06,0.9655172413793103,0.11
12,0.928,-0.516,5.568e-06,0.9827586206896551,0.12
13,0.952,-0.52,5.7120000000000005e-06,0.9655172413793103,0.13
14,0.928,-0.52,5.568e-06,0.9655172413793103,0.14
15,0.952,-0.516,5.7120000000000005e-06,0.9827586206896551,0.15
16,0.936,-0.516,5.616e-06,0.9827586206896551,0.16
17,0.944,-0.52,5.664e-06,0.9655172413793103,0.17
18,0.936,-0.52,5.616e-06,0.9655172413793103,0.18
19,0.968,-0.516,5.808e-06,0.9827586206896551,0.19
20,0.936,-0.516,5.616e-06,0.9827586206896551,0.2
21,0.96,-0.52,5.76e-06,0.9655172413793103,0.21
22,0.96,-0.52,5.76e-06,0.9655172413793103,0.22
23,0.936,-0.516,5.616e-06,0.9827586206896551,0.23
24,0.96,-0.52,5.76e-06,0.9655172413793103,0.24
25,0.944,-0.52,5.664e-06,0.9655172413793103,0.25
26,0.944,-0.52,5.664e-06,0.9655172413793103,0.26
27,0.96,-0.516,5.76e-06,0.9827586206896551,0.27
28,0.96,-0.516,5.76e-06,0.9827586206896551,0.28
29,0.952,-0.52,5.7120000000000005e-06,0.9655172413793103,0.29
30,0.968,-0.52,5.808e-06,0.9655172413793103,0.3
31,0.952,-0.516,5.7120000000000005e-06,0.9827586206896551,0.31
32,0.968,-0.52,5.808e-06,0.9655172413793103,0.32
33,0.952,-0.516,5.7120000000000005e-06,0.9827586206896551,0.33
34,0.968,-0.52,5.808e-06,0.9655172413793103,0.34
35,0.96,-0.516,5.76e-06,0.9827586206896551,0.35000000000000003
