Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.0824,0.254,4.9440000000000004e-06,0.9833333333333333,0.0
1,0.0856,0.256,5.136e-06,0.9916666666666667,0.005
2,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.01
3,0.0816,0.256,4.896e-06,0.9916666666666667,0.015
4,0.088,0.254,5.279999999999999e-06,0.9833333333333333,0.02
5,0.0832,0.256,4.992e-06,0.9916666666666667,0.025
6,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.03
7,0.0824,0.256,4.9440000000000004e-06,0.9916666666666667,0.035
8,0.0824,0.254,4.9440000000000004e-06,0.9833333333333333,0.04
9,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.045
10,0.0872,0.254,5.232e-06,0.9833333333333333,0.05
11,0.084,0.254,5.04e-06,0.9833333333333333,0.055
12,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.06
13,0.0832,0.256,4.992e-06,0.9916666666666667,0.065
14,0.0832,0.254,4.992e-06,0.9833333333333333,0.07
15,0.088,0.256,5.279999999999999e-06,0.9916666666666667,0.075
16,0.088,0.256,5.279999999999999e-06,0.9916666666666667,0.08
17,0.084,0.254,5.04e-06,0.9833333333333333,0.085
18,0.0888,0.254,5.3280000000000005e-06,0.9833333333333333,0.09
19,0.084,0.256,5.04e-06,0.9916666666666667,0.095
20,0.0848,0.254,5.088e-06,0.9833333333333333,0.1
21,0.0888,0.256,5.3280000000000005e-06,0.9916666666666667,0.105
22,0.0888,0.256,5.3280000000000005e-06,0.9916666666666667,0.11
23,0.0848,0.254,5.088e-06,0.9833333333333333,0.115
24,0.088,0.254,5.279999999999999e-06,0.9833333333333333,0.12
25,0.084,0.256,5.04e-06,0.9916666666666667,0.125
26,0.0912,0.254,5.472e-06,0.9833333333333333,0.13
27,0.0832,0.256,4.992e-06,0.9916666666666667,0.135
28,0.0856,0.256,5.136e-06,0.9916666666666667,0.14
29,0.0896,0.254,5.376e-06,0.9833333333333333,0.145
30,0.0896,0.254,5.376e-06,0.9833333333333333,0.15
31,0.0856,0.256,5.136e-06,0.9916666666666667,0.155
32,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.16
33,0.0896,0.256,5.376e-06,0.9916666666666667,0.165
34,0.088,0.254,5.279999999999999e-06,0.9833333333333333,0.17
35,0.0856,0.256,5.136e-06,0.9916666666666667,0.17500000000000002
36,0.0888,0.254,5.3280000000000005e-06,0.9833333333333333,0.18
37,0.0856,0.256,5.136e-06,0.9916666666666667,0.185
38,0.0904,0.254,5.424e-06,0.9833333333333333,0.19
39,0.0864,0.256,5.184000000000001e-06,0.9916666666666667,0.195
40,0.0848,0.256,5.088e-06,0.9916666666666667,0.2
41,0.0904,0.254,5.424e-06,0.9833333333333333,0.20500000000000002
42,0.0904,0.256,5.424e-06,0.9916666666666667,0.21
43,0.0856,0.254,5.136e-06,0.9833333333333333,0.215
44,0.0872,0.254,5.232e-06,0.9833333333333333,0.22
45,0.0912,0.256,5.472e-06,0.9916666666666667,0.225
46,0.0912,0.254,5.472e-06,0.9833333333333333,0.23
47,0.0832,0.256,4.992e-06,0.9916666666666667,0.23500000000000001
48,0.092,0.254,5.52e-06,0.9833333333333333,0.24
49,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.245
50,0.0896,0.254,5.376e-06,0.9833333333333333,0.25
51,0.0856,0.254,5.136e-06,0.9833333333333333,0.255
52,0.092,0.254,5.52e-06,0.9833333333333333,0.26
53,0.0864,0.254,5.184000000000001e-06,0.9833333333333333,0.265
54,0.088,0.254,5.279999999999999e-06,0.9833333333333333,0.27
55,0.0912,0.256,5.472e-06,0.9916666666666667,0.275
56,0.0904,0.254,5.424e-06,0.9833333333333333,0.28
57,0.0872,0.256,5.232e-06,0.9916666666666667,0.28500000000000003
58,0.0888,0.254,5.3280000000000005e-06,0.9833333333333333,0.29
59,0.0912,0.256,5.472e-06,0.9916666666666667,0.295
60,0.0888,0.256,5.3280000000000005e-06,0.9916666666666667,0.3
61,0.0928,0.254,5.568e-06,0.9833333333333333,0.305
62,0.0888,0.256,5.3280000000000005e-06,0.9916666666666667,0.31
63,0.0928,0.254,5.568e-06,0.9833333333333333,0.315
64,0.0896,0.254,5.376e-06,0.9833333333333333,0.32
65,0.0928,0.256,5.568e-06,0.9916666666666667,0.325
66,0.092,0.254,5.52e-06,0.9833333333333333,0.33
67,0.0896,0.254,5.376e-06,0.9833333333333333,0.335
68,0.0888,0.254,5.3280000000000005e-06,0.9833333333333333,0.34
69,0.0944,0.256,5.664e-06,0.9916666666666667,0.34500000000000003
70,0.0936,0.254,5.616e-06,0.9833333333333333,0.35000000000000003
71,0.0888,0.256,5.3280000000000005e-06,0.9916666666666667,0.355
72,0.0928,0.256,5.568e-06,0.9916666666666667,0.36
73,0.088,0.254,5.279999999999999e-06,0.9833333333333333,0.365
74,0.0904,0.254,5.424e-06,0.9833333333333333,0.37
75,0.0944,0.256,5.664e-06,0.9916666666666667,0.375
76,0.0944,0.254,5.664e-06,0.9833333333333333,0.38
77,0.0888,0.254,5.3280000000000005e-06,0.9833333333333333,0.385
78,0.0944,0.254,5.664e-06,0.9833333333333333,0.39
79,0.0896,0.256,5.376e-06,0.9916666666666667,0.395
80,0.0944,0.254,5.664e-06,0.9833333333333333,0.4
81,0.0904,0.254,5.424e-06,0.9833333333333333,0.405
82,0.092,0.256,5.52e-06,0.9916666666666667,0.41000000000000003
83,0.0904,0.254,5.424e-06,0.9833333333333333,0.41500000000000004
84,0.096,0.254,5.76e-06,0.9833333333333333,0.42
85,0.0896,0.256,5.376e-06,0.9916666666666667,0.425
86,0.0936,0.254,5.616e-06,0.9833333333333333,0.43
87,0.0888,0.256,5.3280000000000005e-06,0.9916666666666667,0.435
88,0.0936,0.254,5.616e-06,0.9833333333333333,0.44
89,0.0904,0.256,5.424e-06,0.9916666666666667,0.445
90,0.0936,0.254,5.616e-06,0.9833333333333333,0.45
91,0.0904,0.256,5.424e-06,0.9916666666666667,0.455
92,0.0904,0.254,5.424e-06,0.9833333333333333,0.46
93,0.0952,0.256,5.7120000000000005e-06,0.9916666666666667,0.465
94,0.0968,0.256,5.808e-06,0.9916666666666667,0.47000000000000003
95,0.0904,0.254,5.424e-06,0.9833333333333333,0.47500000000000003
96,0.0952,0.254,5.7120000000000005e-06,0.9833333333333333,0.48
97,0.092,0.256,5.52e-06,0.9916666666666667,0.485
98,0.0936,0.256,5.616e-06,0.9916666666666667,0.49
99,0.096,0.254,5.76e-06,0.9833333333333333,0.495
100,0.0912,0.254,5.472e-06,0.9833333333333333,0.5
101,0.0952,0.256,5.7120000000000005e-06,0.9916666666666667,0.505
102,0.096,0.254,5.76e-06,0.9833333333333333,0.51
103,0.092,0.256,5.52e-06,0.9916666666666667,0.515
104,0.0928,0.256,5.568e-06,0.9916666666666667,0.52
105,0.096,0.254,5.76e-06,0.9833333333333333,0.525
106,0.0976,0.254,5.856e-06,0.9833333333333333,0.53
107,0.0912,0.254,5.472e-06,0.9833333333333333,0.535
108,0.0928,0.256,5.568e-06,0.9916666666666667,0.54
109,0.0968,0.254,5.808e-06,0.9833333333333333,0.545
110,0.0968,0.254,5.808e-06,0.9833333333333333,0.55
111,0.0928,0.254,5.568e-06,0.9833333333333333,0.555
112,0.0928,0.254,5.568e-06,0.9833333333333333,0.56
113,0.0968,0.254,5.808e-06,0.9833333333333333,0.5650000000000001
114,0.092,0.254,5.52e-06,0.9833333333333333,0.5700000000000001
115,0.0976,0.256,5.856e-06,0.9916666666666667,0.5750000000000001
116,0.0968,0.254,5.808e-06,0.9833333333333333,0.58
117,0.0944,0.256,5.664e-06,0.9916666666666667,0.585
118,0.0904,0.254,5.424e-06,0.9833333333333333,0.59
119,0.0984,0.256,5.9040000000000006e-06,0.9916666666666667,0.595
120,0.0936,0.254,5.616e-06,0.9833333333333333,0.6
121,0.0976,0.256,5.856e-06,0.9916666666666667,0.605
122,0.1,0.254,6e-06,0.9833333333333333,0.61
123,0.0936,0.256,5.616e-06,0.9916666666666667,0.615
124,0.0936,0.254,5.616e-06,0.9833333333333333,0.62
125,0.1,0.256,6e-06,0.9916666666666667,0.625
