Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.896,0.0278,5.3759999999999994e-05,0.5529411764705882,0.0
1,0.92,0.0274,5.52e-05,0.5294117647058824,0.01
2,0.92,0.028,5.52e-05,0.5647058823529412,0.02
3,0.904,0.0274,5.4239999999999996e-05,0.5294117647058824,0.03
4,0.92,0.0272,5.52e-05,0.5176470588235293,0.04
5,0.904,0.0278,5.4239999999999996e-05,0.5529411764705882,0.05
6,0.912,0.0274,5.472e-05,0.5294117647058824,0.06
7,0.928,0.0278,5.5679999999999995e-05,0.5529411764705882,0.07
8,0.904,0.0272,5.4239999999999996e-05,0.5176470588235293,0.08
9,0.928,0.0278,5.5679999999999995e-05,0.5529411764705882,0.09
10,0.928,0.0276,5.5679999999999995e-05,0.5411764705882353,0.1
11,0.912,0.027,5.472e-05,0.5058823529411764,0.11
12,0.928,0.0278,5.5679999999999995e-05,0.5529411764705882,0.12
13,0.904,0.0272,5.4239999999999996e-05,0.5176470588235293,0.13
14,0.92,0.028,5.52e-05,0.5647058823529412,0.14
15,0.936,0.0274,5.616e-05,0.5294117647058824,0.15
16,0.936,0.027,5.616e-05,0.5058823529411764,0.16
17,0.912,0.0278,5.472e-05,0.5529411764705882,0.17
18,0.92,0.0274,5.52e-05,0.5294117647058824,0.18
19,0.936,0.0278,5.616e-05,0.5529411764705882,0.19
20,0.912,0.027,5.472e-05,0.5058823529411764,0.2
21,0.936,0.028,5.616e-05,0.5647058823529412,0.21
22,0.936,0.027,5.616e-05,0.5058823529411764,0.22
23,0.92,0.0278,5.52e-05,0.5529411764705882,0.23
24,0.928,0.0278,5.5679999999999995e-05,0.5529411764705882,0.24
25,0.936,0.0272,5.616e-05,0.5176470588235293,0.25
26,0.92,0.0278,5.52e-05,0.5529411764705882,0.26
27,0.944,0.0274,5.6639999999999986e-05,0.5294117647058824,0.27
28,0.92,0.0274,5.52e-05,0.5294117647058824,0.28
29,0.944,0.028,5.6639999999999986e-05,0.5647058823529412,0.29
30,0.944,0.0272,5.6639999999999986e-05,0.5176470588235293,0.3
31,0.92,0.0278,5.52e-05,0.5529411764705882,0.31
32,0.936,0.0276,5.616e-05,0.5411764705882353,0.32
33,0.952,0.027,5.711999999999999e-05,0.5058823529411764,0.33
34,0.936,0.0276,5.616e-05,0.5411764705882353,0.34
35,0.952,0.0272,5.711999999999999e-05,0.5176470588235293,0.35000000000000003
36,0.944,0.027,5.6639999999999986e-05,0.5058823529411764,0.36
37,0.936,0.0276,5.616e-05,0.5411764705882353,0.37
38,0.96,0.0276,5.759999999999999e-05,0.5411764705882353,0.38
39,0.936,0.0272,5.616e-05,0.5176470588235293,0.39
40,0.96,0.0272,5.759999999999999e-05,0.5176470588235293,0.4
41,0.936,0.0278,5.616e-05,0.5529411764705882,0.41000000000000003
42,0.936,0.0278,5.616e-05,0.5529411764705882,0.42
43,0.96,0.027,5.759999999999999e-05,0.5058823529411764,0.43
44,0.96,0.0276,5.759999999999999e-05,0.5411764705882353,0.44
45,0.936,0.027,5.616e-05,0.5058823529411764,0.45
46,0.944,0.0278,5.6639999999999986e-05,0.5529411764705882,0.46
47,0.96,0.0268,5.759999999999999e-05,0.49411764705882355,0.47000000000000003
48,0.944,0.027,5.6639999999999986e-05,0.5058823529411764,0.48
49,0.968,0.0276,5.807999999999999e-05,0.5411764705882353,0.49
50,0.968,0.0276,5.807999999999999e-05,0.5411764705882353,0.5
51,0.944,0.0268,5.6639999999999986e-05,0.49411764705882355,0.51
52,0.944,0.0276,5.6639999999999986e-05,0.5411764705882353,0.52
53,0.968,0.0268,5.807999999999999e-05,0.49411764705882355,0.53
54,0.944,0.0276,5.6639999999999986e-05,0.5411764705882353,0.54
55,0.968,0.0268,5.807999999999999e-05,0.49411764705882355,0.55
56,0.968,0.0276,5.807999999999999e-05,0.5411764705882353,0.56
57,0.952,0.0268,5.711999999999999e-05,0.49411764705882355,0.5700000000000001
58,0.952,0.0278,5.711999999999999e-05,0.5529411764705882,0.58
59,0.976,0.0268,5.8559999999999995e-05,0.49411764705882355,0.59
60,0.952,0.0268,5.711999999999999e-05,0.49411764705882355,0.6
61,0.976,0.0274,5.8559999999999995e-05,0.5294117647058824,0.61
62,0.976,0.0266,5.8559999999999995e-05,0.4823529411764705,0.62
63,0.952,0.0276,5.711999999999999e-05,0.5411764705882353,0.63
64,0.976,0.0268,5.8559999999999995e-05,0.49411764705882355,0.64
65,0.968,0.0276,5.807999999999999e-05,0.5411764705882353,0.65
66,0.96,0.0274,5.759999999999999e-05,0.5294117647058824,0.66
67,0.984,0.0266,5.903999999999999e-05,0.4823529411764705,0.67
68,0.96,0.0274,5.759999999999999e-05,0.5294117647058824,0.68
69,0.984,0.0268,5.903999999999999e-05,0.49411764705882355,0.6900000000000001
70,0.968,0.0274,5.807999999999999e-05,0.5294117647058824,0.7000000000000001
71,0.984,0.0268,5.903999999999999e-05,0.49411764705882355,0.71
72,0.96,0.027,5.759999999999999e-05,0.5058823529411764,0.72
73,0.984,0.0274,5.903999999999999e-05,0.5294117647058824,0.73
74,0.984,0.0272,5.903999999999999e-05,0.5176470588235293,0.74
75,0.968,0.0268,5.807999999999999e-05,0.49411764705882355,0.75
76,0.992,0.0268,5.951999999999999e-05,0.49411764705882355,0.76
77,0.968,0.0272,5.807999999999999e-05,0.5176470588235293,0.77
78,1.0,0.0276,5.9999999999999995e-05,0.5411764705882353,0.78
79,0.968,0.0268,5.807999999999999e-05,0.49411764705882355,0.79
80,0.976,0.0276,5.8559999999999995e-05,0.5411764705882353,0.8
81,0.992,0.0266,5.951999999999999e-05,0.4823529411764705,0.81
82,0.968,0.0274,5.807999999999999e-05,0.5294117647058824,0.8200000000000001
83,0.992,0.0266,5.951999999999999e-05,0.4823529411764705,0.8300000000000001
84,0.992,0.0266,5.951999999999999e-05,0.4823529411764705,0.84
85,0.984,0.0274,5.903999999999999e-05,0.5294117647058824,0.85
86,0.992,0.0266,5.951999999999999e-05,0.4823529411764705,0.86
87,-0.008,0.0296,-4.8e-07,0.6588235294117648,0.87
88,-0.008,0.0298,-4.8e-07,0.6705882352941176,0.88
89,0.008,0.0316,4.8e-07,0.7764705882352942,0.89
90,0.0,0.032,0.0,0.8,0.9
91,0.008,0.0344,4.8e-07,0.9411764705882353,0.91
92,0.0,0.0342,0.0,0.9294117647058824,0.92
93,0.008,0.0354,4.8e-07,1.0,0.93
94,0.0,0.0354,0.0,1.0,0.9400000000000001
95,0.016,0.0344,9.6e-07,0.9411764705882353,0.9500000000000001
96,0.0,0.0352,0.0,0.9882352941176471,0.96
97,0.016,0.0348,9.6e-07,0.964705882352941,0.97
98,0.016,0.0346,9.6e-07,0.9529411764705881,0.98
99,0.008,0.0352,4.8e-07,0.9882352941176471,0.99
100,0.016,0.035,9.6e-07,0.9764705882352943,1.0
101,0.008,0.0346,4.8e-07,0.9529411764705881,1.01
102,0.016,0.0354,9.6e-07,1.0,1.02
103,0.008,0.0348,4.8e-07,0.964705882352941,1.03
104,0.024,0.0352,1.44e-06,0.9882352941176471,1.04
105,0.008,0.0346,4.8e-07,0.9529411764705881,1.05
106,0.016,0.0354,9.6e-07,1.0,1.06
107,0.024,0.0346,1.44e-06,0.9529411764705881,1.07
108,0.024,0.0346,1.44e-06,0.9529411764705881,1.08
109,0.016,0.0352,9.6e-07,0.9882352941176471,1.09
110,0.024,0.0346,1.44e-06,0.9529411764705881,1.1
111,0.024,0.0352,1.44e-06,0.9882352941176471,1.11
112,0.024,0.035,1.44e-06,0.9764705882352943,1.12
113,0.032,0.0346,1.92e-06,0.9529411764705881,1.1300000000000001
114,0.024,0.0346,1.44e-06,0.9529411764705881,1.1400000000000001
115,0.016,0.0352,9.6e-07,0.9882352941176471,1.1500000000000001
116,0.016,0.035,9.6e-07,0.9764705882352943,1.16
117,0.032,0.0346,1.92e-06,0.9529411764705881,1.17
118,0.032,0.0352,1.92e-06,0.9882352941176471,1.18
119,0.032,0.0346,1.92e-06,0.9529411764705881,1.19
120,0.04,0.0352,2.4e-06,0.9882352941176471,1.2
121,0.032,0.0346,1.92e-06,0.9529411764705881,1.21
122,0.032,0.0344,1.92e-06,0.9411764705882353,1.22
123,0.04,0.035,2.4e-06,0.9764705882352943,1.23
124,0.032,0.0344,1.92e-06,0.9411764705882353,1.24
125,0.032,0.035,1.92e-06,0.9764705882352943,1.25
126,0.032,0.035,1.92e-06,0.9764705882352943,1.26
127,0.04,0.0344,2.4e-06,0.9411764705882353,1.27
128,0.032,0.0352,1.92e-06,0.9882352941176471,1.28
129,0.048,0.0348,2.88e-06,0.964705882352941,1.29
130,0.04,0.0344,2.4e-06,0.9411764705882353,1.3
131,0.04,0.035,2.4e-06,0.9764705882352943,1.31
132,0.04,0.0342,2.4e-06,0.9294117647058824,1.32
133,0.04,0.0352,2.4e-06,0.9882352941176471,1.33
134,0.04,0.0342,2.4e-06,0.9294117647058824,1.34
