Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.812,0.0528,4.8719999999999994e-05,0.7407407407407409,0.0
1,0.824,0.0536,4.944e-05,0.8148148148148152,0.005
2,0.808,0.0524,4.848e-05,0.7037037037037042,0.01
3,0.824,0.0532,4.944e-05,0.7777777777777778,0.015
4,0.82,0.0536,4.919999999999999e-05,0.8148148148148152,0.02
5,0.808,0.0528,4.848e-05,0.7407407407407409,0.025
6,0.816,0.0528,4.896e-05,0.7407407407407409,0.03
7,0.828,0.0532,4.967999999999999e-05,0.7777777777777778,0.035
8,0.816,0.0528,4.896e-05,0.7407407407407409,0.04
9,0.828,0.0524,4.967999999999999e-05,0.7037037037037042,0.045
10,0.824,0.0532,4.944e-05,0.7777777777777778,0.05
11,0.808,0.0524,4.848e-05,0.7037037037037042,0.055
12,0.816,0.0528,4.896e-05,0.7407407407407409,0.06
13,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.065
14,0.812,0.0528,4.8719999999999994e-05,0.7407407407407409,0.07
15,0.824,0.0532,4.944e-05,0.7777777777777778,0.075
16,0.812,0.0528,4.8719999999999994e-05,0.7407407407407409,0.08
17,0.828,0.0532,4.967999999999999e-05,0.7777777777777778,0.085
18,0.816,0.0524,4.896e-05,0.7037037037037042,0.09
19,0.828,0.0536,4.967999999999999e-05,0.8148148148148152,0.095
20,0.828,0.0528,4.967999999999999e-05,0.7407407407407409,0.1
21,0.816,0.0532,4.896e-05,0.7777777777777778,0.105
22,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.11
23,0.816,0.0528,4.896e-05,0.7407407407407409,0.115
24,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.12
25,0.812,0.0532,4.8719999999999994e-05,0.7777777777777778,0.125
26,0.828,0.0528,4.967999999999999e-05,0.7407407407407409,0.13
27,0.816,0.0528,4.896e-05,0.7407407407407409,0.135
28,0.82,0.0532,4.919999999999999e-05,0.7777777777777778,0.14
29,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.145
30,0.812,0.0528,4.8719999999999994e-05,0.7407407407407409,0.15
31,0.824,0.0536,4.944e-05,0.8148148148148152,0.155
32,0.816,0.0532,4.896e-05,0.7777777777777778,0.16
33,0.828,0.0528,4.967999999999999e-05,0.7407407407407409,0.165
34,0.816,0.0532,4.896e-05,0.7777777777777778,0.17
35,0.828,0.0528,4.967999999999999e-05,0.7407407407407409,0.17500000000000002
36,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.18
37,0.816,0.0532,4.896e-05,0.7777777777777778,0.185
38,0.812,0.0528,4.8719999999999994e-05,0.7407407407407409,0.19
39,0.828,0.0532,4.967999999999999e-05,0.7777777777777778,0.195
40,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.2
41,0.816,0.0532,4.896e-05,0.7777777777777778,0.20500000000000002
42,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.21
43,0.832,0.0524,4.991999999999999e-05,0.7037037037037042,0.215
44,0.836,0.0528,5.0159999999999994e-05,0.7407407407407409,0.22
45,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.225
46,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.23
47,0.82,0.0532,4.919999999999999e-05,0.7777777777777778,0.23500000000000001
48,0.82,0.0532,4.919999999999999e-05,0.7777777777777778,0.24
49,0.836,0.0524,5.0159999999999994e-05,0.7037037037037042,0.245
50,0.832,0.0532,4.991999999999999e-05,0.7777777777777778,0.25
51,0.82,0.0524,4.919999999999999e-05,0.7037037037037042,0.255
52,0.82,0.0524,4.919999999999999e-05,0.7037037037037042,0.26
53,0.832,0.0532,4.991999999999999e-05,0.7777777777777778,0.265
54,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.27
55,0.836,0.0524,5.0159999999999994e-05,0.7037037037037042,0.275
56,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.28
57,0.832,0.0532,4.991999999999999e-05,0.7777777777777778,0.28500000000000003
58,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.29
59,0.832,0.0532,4.991999999999999e-05,0.7777777777777778,0.295
60,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.3
61,0.832,0.0532,4.991999999999999e-05,0.7777777777777778,0.305
62,0.82,0.0528,4.919999999999999e-05,0.7407407407407409,0.31
63,0.828,0.0536,4.967999999999999e-05,0.8148148148148152,0.315
64,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.32
65,0.82,0.0532,4.919999999999999e-05,0.7777777777777778,0.325
66,0.836,0.0536,5.0159999999999994e-05,0.8148148148148152,0.33
67,0.824,0.0528,4.944e-05,0.7407407407407409,0.335
68,0.832,0.0524,4.991999999999999e-05,0.7037037037037042,0.34
69,0.824,0.0532,4.944e-05,0.7777777777777778,0.34500000000000003
70,0.836,0.0532,5.0159999999999994e-05,0.7777777777777778,0.35000000000000003
71,0.824,0.052,4.944e-05,0.6666666666666666,0.355
72,0.836,0.052,5.0159999999999994e-05,0.6666666666666666,0.36
73,0.82,0.0536,4.919999999999999e-05,0.8148148148148152,0.365
74,0.836,0.0532,5.0159999999999994e-05,0.7777777777777778,0.37
75,0.824,0.0528,4.944e-05,0.7407407407407409,0.375
76,0.824,0.0532,4.944e-05,0.7777777777777778,0.38
77,0.84,0.0528,5.039999999999999e-05,0.7407407407407409,0.385
78,0.84,0.0532,5.039999999999999e-05,0.7777777777777778,0.39
79,0.824,0.0528,4.944e-05,0.7407407407407409,0.395
80,0.832,0.0528,4.991999999999999e-05,0.7407407407407409,0.4
81,0.84,0.0532,5.039999999999999e-05,0.7777777777777778,0.405
82,0.84,0.0528,5.039999999999999e-05,0.7407407407407409,0.41000000000000003
83,0.576,0.0544,3.4559999999999994e-05,0.8888888888888888,0.41500000000000004
84,0.576,0.0548,3.4559999999999994e-05,0.9259259259259264,0.42
85,0.588,0.054,3.5279999999999994e-05,0.8518518518518521,0.425
86,0.588,0.0548,3.5279999999999994e-05,0.9259259259259264,0.43
87,0.576,0.0544,3.4559999999999994e-05,0.8888888888888888,0.435
88,0.572,0.0548,3.432e-05,0.9259259259259264,0.44
89,0.588,0.0548,3.5279999999999994e-05,0.9259259259259264,0.445
90,0.572,0.0552,3.432e-05,0.9629629629629631,0.45
91,0.588,0.0544,3.5279999999999994e-05,0.8888888888888888,0.455
92,0.576,0.0544,3.4559999999999994e-05,0.8888888888888888,0.46
93,0.588,0.0552,3.5279999999999994e-05,0.9629629629629631,0.465
94,0.58,0.0544,3.479999999999999e-05,0.8888888888888888,0.47000000000000003
95,0.584,0.0552,3.5039999999999997e-05,0.9629629629629631,0.47500000000000003
96,0.58,0.0544,3.479999999999999e-05,0.8888888888888888,0.48
