Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.728,-0.12,4.3679999999999995e-05,0.5835962145110412,0.0
1,0.744,-0.119,4.463999999999999e-05,0.5993690851735017,0.01
2,0.728,-0.119,4.3679999999999995e-05,0.5993690851735017,0.02
3,0.744,-0.12,4.463999999999999e-05,0.5835962145110412,0.03
4,0.744,-0.119,4.463999999999999e-05,0.5993690851735017,0.04
5,0.728,-0.12,4.3679999999999995e-05,0.5835962145110412,0.05
6,0.744,-0.119,4.463999999999999e-05,0.5993690851735017,0.06
7,0.728,-0.12,4.3679999999999995e-05,0.5835962145110412,0.07
8,0.744,-0.119,4.463999999999999e-05,0.5993690851735017,0.08
9,0.728,-0.121,4.3679999999999995e-05,0.5678233438485806,0.09
10,0.728,-0.119,4.3679999999999995e-05,0.5993690851735017,0.1
11,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.11
12,0.736,-0.12,4.416e-05,0.5835962145110412,0.12
13,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.13
14,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.14
15,0.728,-0.119,4.3679999999999995e-05,0.5993690851735017,0.15
16,0.736,-0.119,4.416e-05,0.5993690851735017,0.16
17,0.752,-0.121,4.5119999999999995e-05,0.5678233438485806,0.17
18,0.752,-0.121,4.5119999999999995e-05,0.5678233438485806,0.18
19,0.736,-0.119,4.416e-05,0.5993690851735017,0.19
20,0.744,-0.121,4.463999999999999e-05,0.5678233438485806,0.2
21,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.21
22,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.22
23,0.736,-0.121,4.416e-05,0.5678233438485806,0.23
24,0.736,-0.121,4.416e-05,0.5678233438485806,0.24
25,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.25
26,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.26
27,0.744,-0.121,4.463999999999999e-05,0.5678233438485806,0.27
28,0.76,-0.12,4.56e-05,0.5835962145110412,0.28
29,0.744,-0.121,4.463999999999999e-05,0.5678233438485806,0.29
30,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.3
31,0.752,-0.121,4.5119999999999995e-05,0.5678233438485806,0.31
32,0.744,-0.12,4.463999999999999e-05,0.5835962145110412,0.32
33,0.76,-0.121,4.56e-05,0.5678233438485806,0.33
34,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.34
35,0.76,-0.121,4.56e-05,0.5678233438485806,0.35000000000000003
36,0.76,-0.121,4.56e-05,0.5678233438485806,0.36
37,0.744,-0.119,4.463999999999999e-05,0.5993690851735017,0.37
38,0.752,-0.121,4.5119999999999995e-05,0.5678233438485806,0.38
39,0.76,-0.12,4.56e-05,0.5835962145110412,0.39
40,0.752,-0.121,4.5119999999999995e-05,0.5678233438485806,0.4
41,0.768,-0.119,4.608e-05,0.5993690851735017,0.41000000000000003
42,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.42
43,0.768,-0.121,4.608e-05,0.5678233438485806,0.43
44,0.752,-0.119,4.5119999999999995e-05,0.5993690851735017,0.44
45,0.76,-0.121,4.56e-05,0.5678233438485806,0.45
46,0.768,-0.121,4.608e-05,0.5678233438485806,0.46
47,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.47000000000000003
48,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.48
49,0.768,-0.122,4.608e-05,0.55205047318612,0.49
50,0.768,-0.121,4.608e-05,0.5678233438485806,0.5
51,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.51
52,0.76,-0.12,4.56e-05,0.5835962145110412,0.52
53,0.776,-0.122,4.656e-05,0.55205047318612,0.53
54,0.768,-0.122,4.608e-05,0.55205047318612,0.54
55,0.752,-0.12,4.5119999999999995e-05,0.5835962145110412,0.55
56,0.768,-0.12,4.608e-05,0.5835962145110412,0.56
57,0.752,-0.122,4.5119999999999995e-05,0.55205047318612,0.5700000000000001
58,0.76,-0.122,4.56e-05,0.55205047318612,0.58
59,0.768,-0.12,4.608e-05,0.5835962145110412,0.59
