Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.928,-0.126,5.5679999999999995e-05,0.05714285714285719,0.0
1,0.944,-0.125,5.6639999999999986e-05,0.07142857142857148,0.01
2,0.928,-0.126,5.5679999999999995e-05,0.05714285714285719,0.02
3,0.952,-0.125,5.711999999999999e-05,0.07142857142857148,0.03
4,0.928,-0.126,5.5679999999999995e-05,0.05714285714285719,0.04
5,0.952,-0.125,5.711999999999999e-05,0.07142857142857148,0.05
6,0.936,-0.126,5.616e-05,0.05714285714285719,0.06
7,0.952,-0.126,5.711999999999999e-05,0.05714285714285719,0.07
8,0.928,-0.126,5.5679999999999995e-05,0.05714285714285719,0.08
9,0.952,-0.126,5.711999999999999e-05,0.05714285714285719,0.09
10,0.936,-0.126,5.616e-05,0.05714285714285719,0.1
11,0.96,-0.126,5.759999999999999e-05,0.05714285714285719,0.11
12,0.936,-0.126,5.616e-05,0.05714285714285719,0.12
13,0.952,-0.127,5.711999999999999e-05,0.04285714285714289,0.13
14,0.936,-0.127,5.616e-05,0.04285714285714289,0.14
15,0.96,-0.126,5.759999999999999e-05,0.05714285714285719,0.15
16,0.96,-0.126,5.759999999999999e-05,0.05714285714285719,0.16
17,0.936,-0.127,5.616e-05,0.04285714285714289,0.17
18,0.944,-0.126,5.6639999999999986e-05,0.05714285714285719,0.18
19,0.96,-0.128,5.759999999999999e-05,0.028571428571428595,0.19
20,0.944,-0.127,5.6639999999999986e-05,0.04285714285714289,0.2
21,0.96,-0.126,5.759999999999999e-05,0.05714285714285719,0.21
22,0.944,-0.127,5.6639999999999986e-05,0.04285714285714289,0.22
23,0.968,-0.127,5.807999999999999e-05,0.04285714285714289,0.23
24,0.968,-0.127,5.807999999999999e-05,0.04285714285714289,0.24
25,0.944,-0.127,5.6639999999999986e-05,0.04285714285714289,0.25
26,0.944,-0.127,5.6639999999999986e-05,0.04285714285714289,0.26
27,0.968,-0.127,5.807999999999999e-05,0.04285714285714289,0.27
28,0.96,-0.127,5.759999999999999e-05,0.04285714285714289,0.28
29,0.968,-0.128,5.807999999999999e-05,0.028571428571428595,0.29
30,0.968,-0.129,5.807999999999999e-05,0.014285714285714297,0.3
31,0.944,-0.127,5.6639999999999986e-05,0.04285714285714289,0.31
32,0.976,-0.128,5.8559999999999995e-05,0.028571428571428595,0.32
33,0.952,-0.129,5.711999999999999e-05,0.014285714285714297,0.33
34,0.96,-0.128,5.759999999999999e-05,0.028571428571428595,0.34
35,0.984,-0.127,5.903999999999999e-05,0.04285714285714289,0.35000000000000003
36,0.96,-0.127,5.759999999999999e-05,0.04285714285714289,0.36
37,0.984,-0.129,5.903999999999999e-05,0.014285714285714297,0.37
38,0.976,-0.128,5.8559999999999995e-05,0.028571428571428595,0.38
39,0.968,-0.127,5.807999999999999e-05,0.04285714285714289,0.39
40,0.968,-0.128,5.807999999999999e-05,0.028571428571428595,0.4
41,0.976,-0.129,5.8559999999999995e-05,0.014285714285714297,0.41000000000000003
42,0.976,-0.129,5.8559999999999995e-05,0.014285714285714297,0.42
43,0.968,-0.128,5.807999999999999e-05,0.028571428571428595,0.43
44,0.968,-0.128,5.807999999999999e-05,0.028571428571428595,0.44
45,0.992,-0.129,5.951999999999999e-05,0.014285714285714297,0.45
46,0.992,-0.128,5.951999999999999e-05,0.028571428571428595,0.46
47,0.968,-0.129,5.807999999999999e-05,0.014285714285714297,0.47000000000000003
48,0.992,-0.128,5.951999999999999e-05,0.028571428571428595,0.48
49,0.968,-0.13,5.807999999999999e-05,0.0,0.49
50,0.976,-0.129,5.8559999999999995e-05,0.014285714285714297,0.5
51,1.0,-0.128,5.9999999999999995e-05,0.028571428571428595,0.51
52,0.976,-0.128,5.8559999999999995e-05,0.028571428571428595,0.52
53,1.0,-0.13,5.9999999999999995e-05,0.0,0.53
54,1.0,-0.129,5.9999999999999995e-05,0.014285714285714297,0.54
55,-0.008,-0.109,-4.8e-07,0.30000000000000004,0.55
56,0.0,-0.105,0.0,0.3571428571428572,0.56
57,-0.008,-0.0832,-4.8e-07,0.6685714285714286,0.5700000000000001
58,0.0,-0.08,0.0,0.7142857142857143,0.58
59,-0.008,-0.0704,-4.8e-07,0.8514285714285713,0.59
60,0.008,-0.0696,4.8e-07,0.8628571428571429,0.6
61,-0.008,-0.0712,-4.8e-07,0.84,0.61
62,0.008,-0.0704,4.8e-07,0.8514285714285713,0.62
63,0.0,-0.072,0.0,0.8285714285714286,0.63
64,0.008,-0.0712,4.8e-07,0.84,0.64
65,0.008,-0.0728,4.8e-07,0.8171428571428571,0.65
66,0.008,-0.0728,4.8e-07,0.8171428571428571,0.66
67,0.008,-0.072,4.8e-07,0.8285714285714286,0.67
68,0.008,-0.0728,4.8e-07,0.8171428571428571,0.68
69,0.016,-0.072,9.6e-07,0.8285714285714286,0.6900000000000001
70,0.024,-0.072,1.44e-06,0.8285714285714286,0.7000000000000001
71,0.0,-0.0728,0.0,0.8171428571428571,0.71
72,0.008,-0.0728,4.8e-07,0.8171428571428571,0.72
73,0.016,-0.072,9.6e-07,0.8285714285714286,0.73
74,0.016,-0.0736,9.6e-07,0.8057142857142857,0.74
75,0.016,-0.0728,9.6e-07,0.8171428571428571,0.75
76,0.016,-0.072,9.6e-07,0.8285714285714286,0.76
77,0.016,-0.0736,9.6e-07,0.8057142857142857,0.77
78,0.024,-0.0736,1.44e-06,0.8057142857142857,0.78
79,0.016,-0.072,9.6e-07,0.8285714285714286,0.79
80,0.024,-0.0736,1.44e-06,0.8057142857142857,0.8
81,0.016,-0.072,9.6e-07,0.8285714285714286,0.81
82,0.016,-0.072,9.6e-07,0.8285714285714286,0.8200000000000001
83,0.032,-0.0736,1.92e-06,0.8057142857142857,0.8300000000000001
84,0.024,-0.0736,1.44e-06,0.8057142857142857,0.84
85,0.032,-0.0728,1.92e-06,0.8171428571428571,0.85
86,0.032,-0.0736,1.92e-06,0.8057142857142857,0.86
87,0.024,-0.0736,1.44e-06,0.8057142857142857,0.87
88,0.024,-0.0728,1.44e-06,0.8171428571428571,0.88
89,0.032,-0.0736,1.92e-06,0.8057142857142857,0.89
90,0.024,-0.0736,1.44e-06,0.8057142857142857,0.9
91,0.04,-0.0744,2.4e-06,0.7942857142857144,0.91
92,0.024,-0.0736,1.44e-06,0.8057142857142857,0.92
93,0.04,-0.0728,2.4e-06,0.8171428571428571,0.93
94,0.032,-0.0728,1.92e-06,0.8171428571428571,0.9400000000000001
95,0.04,-0.0744,2.4e-06,0.7942857142857144,0.9500000000000001
96,0.032,-0.0744,1.92e-06,0.7942857142857144,0.96
97,0.04,-0.0728,2.4e-06,0.8171428571428571,0.97
98,0.04,-0.0736,2.4e-06,0.8057142857142857,0.98
99,0.032,-0.0744,1.92e-06,0.7942857142857144,0.99
100,0.032,-0.0744,1.92e-06,0.7942857142857144,1.0
101,0.048,-0.0728,2.88e-06,0.8171428571428571,1.01
102,0.048,-0.0736,2.88e-06,0.8057142857142857,1.02
103,0.032,-0.0744,1.92e-06,0.7942857142857144,1.03
104,0.032,-0.0744,1.92e-06,0.7942857142857144,1.04
105,0.048,-0.0736,2.88e-06,0.8057142857142857,1.05
106,0.04,-0.0744,2.4e-06,0.7942857142857144,1.06
107,0.048,-0.0736,2.88e-06,0.8057142857142857,1.07
108,0.04,-0.0744,2.4e-06,0.7942857142857144,1.08
109,0.056,-0.0736,3.3599999999999996e-06,0.8057142857142857,1.09
110,0.056,-0.0736,3.3599999999999996e-06,0.8057142857142857,1.1
111,0.04,-0.0744,2.4e-06,0.7942857142857144,1.11
112,0.04,-0.0744,2.4e-06,0.7942857142857144,1.12
113,0.056,-0.0744,3.3599999999999996e-06,0.7942857142857144,1.1300000000000001
114,0.056,-0.0744,3.3599999999999996e-06,0.7942857142857144,1.1400000000000001
115,0.048,-0.0744,2.88e-06,0.7942857142857144,1.1500000000000001
116,0.056,-0.0752,3.3599999999999996e-06,0.7828571428571428,1.16
117,0.048,-0.0744,2.88e-06,0.7942857142857144,1.17
118,0.056,-0.0744,3.3599999999999996e-06,0.7942857142857144,1.18
119,0.056,-0.076,3.3599999999999996e-06,0.7714285714285715,1.19
120,0.056,-0.0744,3.3599999999999996e-06,0.7942857142857144,1.2
121,0.048,-0.076,2.88e-06,0.7714285714285715,1.21
122,0.064,-0.0752,3.84e-06,0.7828571428571428,1.22
123,0.056,-0.0744,3.3599999999999996e-06,0.7942857142857144,1.23
124,0.056,-0.0752,3.3599999999999996e-06,0.7828571428571428,1.24
125,0.072,-0.0744,4.319999999999999e-06,0.7942857142857144,1.25
126,0.064,-0.0752,3.84e-06,0.7828571428571428,1.26
127,0.064,-0.076,3.84e-06,0.7714285714285715,1.27
128,0.064,-0.0752,3.84e-06,0.7828571428571428,1.28
129,0.064,-0.076,3.84e-06,0.7714285714285715,1.29
130,0.064,-0.0752,3.84e-06,0.7828571428571428,1.3
131,0.08,-0.076,4.8e-06,0.7714285714285715,1.31
132,0.064,-0.0752,3.84e-06,0.7828571428571428,1.32
133,0.08,-0.076,4.8e-06,0.7714285714285715,1.33
134,0.072,-0.0752,4.319999999999999e-06,0.7828571428571428,1.34
135,0.08,-0.0768,4.8e-06,0.7600000000000001,1.35
136,0.072,-0.076,4.319999999999999e-06,0.7714285714285715,1.36
137,0.08,-0.0768,4.8e-06,0.7600000000000001,1.37
138,0.072,-0.0752,4.319999999999999e-06,0.7828571428571428,1.3800000000000001
139,0.08,-0.0768,4.8e-06,0.7600000000000001,1.3900000000000001
140,0.072,-0.076,4.319999999999999e-06,0.7714285714285715,1.4000000000000001
141,0.088,-0.076,5.2799999999999986e-06,0.7714285714285715,1.41
142,0.072,-0.076,4.319999999999999e-06,0.7714285714285715,1.42
143,0.088,-0.0768,5.2799999999999986e-06,0.7600000000000001,1.43
144,0.08,-0.076,4.8e-06,0.7714285714285715,1.44
