Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.0
1,0.9,0.048,5.4e-05,0.9019607843137254,0.005
2,0.92,0.048,5.52e-05,0.9019607843137254,0.01
3,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.015
4,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.02
5,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.025
6,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.03
7,0.92,0.048,5.52e-05,0.9019607843137254,0.035
8,0.92,0.048,5.52e-05,0.9019607843137254,0.04
9,0.98,0.048,5.88e-05,0.9019607843137254,0.045
10,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.05
11,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.055
12,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.06
13,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.065
14,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.07
15,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.075
16,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.08
17,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.085
18,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.09
19,0.98,0.048,5.88e-05,0.9019607843137254,0.095
20,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.1
21,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.105
22,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.11
23,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.115
24,0.94,0.048,5.6399999999999995e-05,0.9019607843137254,0.12
25,0.98,0.048,5.88e-05,0.9019607843137254,0.125
26,0.98,0.048,5.88e-05,0.9019607843137254,0.13
27,0.94,0.046,5.6399999999999995e-05,0.8823529411764705,0.135
28,1.0,0.048,5.9999999999999995e-05,0.9019607843137254,0.14
29,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.145
30,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.15
31,0.98,0.048,5.88e-05,0.9019607843137254,0.155
32,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.16
33,0.98,0.048,5.88e-05,0.9019607843137254,0.165
34,0.96,0.046,5.759999999999999e-05,0.8823529411764705,0.17
35,0.98,0.048,5.88e-05,0.9019607843137254,0.17500000000000002
36,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.18
37,0.98,0.048,5.88e-05,0.9019607843137254,0.185
38,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.19
39,1.0,0.048,5.9999999999999995e-05,0.9019607843137254,0.195
40,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.2
41,1.0,0.048,5.9999999999999995e-05,0.9019607843137254,0.20500000000000002
42,0.96,0.048,5.759999999999999e-05,0.9019607843137254,0.21
43,1.0,0.048,5.9999999999999995e-05,0.9019607843137254,0.215
44,0.98,0.048,5.88e-05,0.9019607843137254,0.22
45,-0.04,0.054,-2.4e-06,0.9607843137254901,0.225
46,-0.02,0.054,-1.2e-06,0.9607843137254901,0.23
47,0.02,0.052,1.2e-06,0.9411764705882353,0.23500000000000001
48,0.0,0.054,0.0,0.9607843137254901,0.24
49,-0.02,0.052,-1.2e-06,0.9411764705882353,0.245
50,-0.02,0.054,-1.2e-06,0.9607843137254901,0.25
51,0.0,0.052,0.0,0.9411764705882353,0.255
52,0.02,0.056,1.2e-06,0.9803921568627451,0.26
53,-0.02,0.052,-1.2e-06,0.9411764705882353,0.265
54,0.02,0.052,1.2e-06,0.9411764705882353,0.27
55,-0.02,0.054,-1.2e-06,0.9607843137254901,0.275
56,0.02,0.052,1.2e-06,0.9411764705882353,0.28
57,-0.02,0.058,-1.2e-06,1.0,0.28500000000000003
58,0.02,0.054,1.2e-06,0.9607843137254901,0.29
59,-0.02,0.056,-1.2e-06,0.9803921568627451,0.295
60,0.02,0.052,1.2e-06,0.9411764705882353,0.3
61,-0.02,0.056,-1.2e-06,0.9803921568627451,0.305
62,-0.02,0.054,-1.2e-06,0.9607843137254901,0.31
63,0.02,0.058,1.2e-06,1.0,0.315
64,-0.02,0.052,-1.2e-06,0.9411764705882353,0.32
65,0.02,0.056,1.2e-06,0.9803921568627451,0.325
66,0.02,0.054,1.2e-06,0.9607843137254901,0.33
67,-0.02,0.052,-1.2e-06,0.9411764705882353,0.335
68,0.02,0.054,1.2e-06,0.9607843137254901,0.34
69,-0.02,0.054,-1.2e-06,0.9607843137254901,0.34500000000000003
70,0.02,0.054,1.2e-06,0.9607843137254901,0.35000000000000003
71,0.02,0.052,1.2e-06,0.9411764705882353,0.355
72,0.02,0.052,1.2e-06,0.9411764705882353,0.36
73,-0.02,0.056,-1.2e-06,0.9803921568627451,0.365
74,0.0,0.054,0.0,0.9607843137254901,0.37
75,0.04,0.054,2.4e-06,0.9607843137254901,0.375
76,0.0,0.056,0.0,0.9803921568627451,0.38
77,0.04,0.052,2.4e-06,0.9411764705882353,0.385
78,0.04,0.054,2.4e-06,0.9607843137254901,0.39
79,0.0,0.054,0.0,0.9607843137254901,0.395
80,0.04,0.054,2.4e-06,0.9607843137254901,0.4
81,0.0,0.052,0.0,0.9411764705882353,0.405
82,0.0,0.054,0.0,0.9607843137254901,0.41000000000000003
83,0.04,0.054,2.4e-06,0.9607843137254901,0.41500000000000004
84,0.0,0.054,0.0,0.9607843137254901,0.42
85,0.04,0.052,2.4e-06,0.9411764705882353,0.425
86,0.02,0.054,1.2e-06,0.9607843137254901,0.43
87,0.04,0.052,2.4e-06,0.9411764705882353,0.435
88,0.04,0.054,2.4e-06,0.9607843137254901,0.44
89,0.02,0.052,1.2e-06,0.9411764705882353,0.445
90,0.0,0.054,0.0,0.9607843137254901,0.45
91,0.04,0.052,2.4e-06,0.9411764705882353,0.455
92,0.04,0.054,2.4e-06,0.9607843137254901,0.46
93,0.0,0.054,0.0,0.9607843137254901,0.465
94,0.04,0.054,2.4e-06,0.9607843137254901,0.47000000000000003
95,0.02,0.052,1.2e-06,0.9411764705882353,0.47500000000000003
96,0.02,0.054,1.2e-06,0.9607843137254901,0.48
97,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.485
98,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.49
99,0.02,0.052,1.2e-06,0.9411764705882353,0.495
100,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.5
101,0.02,0.054,1.2e-06,0.9607843137254901,0.505
102,0.04,0.054,2.4e-06,0.9607843137254901,0.51
103,0.08,0.052,4.8e-06,0.9411764705882353,0.515
104,0.04,0.054,2.4e-06,0.9607843137254901,0.52
105,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.525
106,0.04,0.054,2.4e-06,0.9607843137254901,0.53
107,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.535
108,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.54
109,0.04,0.052,2.4e-06,0.9411764705882353,0.545
110,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.55
111,0.04,0.052,2.4e-06,0.9411764705882353,0.555
112,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.56
113,0.04,0.054,2.4e-06,0.9607843137254901,0.5650000000000001
114,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.5700000000000001
115,0.02,0.054,1.2e-06,0.9607843137254901,0.5750000000000001
116,0.04,0.054,2.4e-06,0.9607843137254901,0.58
117,0.08,0.054,4.8e-06,0.9607843137254901,0.585
118,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.59
119,0.06,0.052,3.5999999999999994e-06,0.9411764705882353,0.595
120,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.6
121,0.04,0.054,2.4e-06,0.9607843137254901,0.605
122,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.61
123,0.06,0.052,3.5999999999999994e-06,0.9411764705882353,0.615
124,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.62
125,0.1,0.052,5.999999999999999e-06,0.9411764705882353,0.625
126,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.63
127,0.08,0.052,4.8e-06,0.9411764705882353,0.635
128,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.64
129,0.06,0.052,3.5999999999999994e-06,0.9411764705882353,0.645
130,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.65
131,0.1,0.052,5.999999999999999e-06,0.9411764705882353,0.655
132,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.66
133,0.1,0.052,5.999999999999999e-06,0.9411764705882353,0.665
134,0.08,0.054,4.8e-06,0.9607843137254901,0.67
135,0.06,0.052,3.5999999999999994e-06,0.9411764705882353,0.675
136,0.08,0.052,4.8e-06,0.9411764705882353,0.68
137,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.685
138,0.08,0.052,4.8e-06,0.9411764705882353,0.6900000000000001
139,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.6950000000000001
140,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.7000000000000001
141,0.1,0.052,5.999999999999999e-06,0.9411764705882353,0.705
142,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.71
143,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.715
144,0.08,0.054,4.8e-06,0.9607843137254901,0.72
145,0.06,0.052,3.5999999999999994e-06,0.9411764705882353,0.725
146,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.73
147,0.06,0.054,3.5999999999999994e-06,0.9607843137254901,0.735
148,0.08,0.054,4.8e-06,0.9607843137254901,0.74
149,0.12,0.052,7.199999999999999e-06,0.9411764705882353,0.745
150,0.08,0.054,4.8e-06,0.9607843137254901,0.75
151,0.12,0.052,7.199999999999999e-06,0.9411764705882353,0.755
152,0.08,0.052,4.8e-06,0.9411764705882353,0.76
153,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.765
154,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.77
155,0.08,0.054,4.8e-06,0.9607843137254901,0.775
156,0.08,0.052,4.8e-06,0.9411764705882353,0.78
157,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.785
158,0.08,0.054,4.8e-06,0.9607843137254901,0.79
159,0.12,0.052,7.199999999999999e-06,0.9411764705882353,0.795
160,0.08,0.052,4.8e-06,0.9411764705882353,0.8
161,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.805
162,0.08,0.052,4.8e-06,0.9411764705882353,0.81
163,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.8150000000000001
164,0.08,0.054,4.8e-06,0.9607843137254901,0.8200000000000001
165,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.8250000000000001
166,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.8300000000000001
167,0.08,0.052,4.8e-06,0.9411764705882353,0.835
168,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.84
169,0.14,0.054,8.4e-06,0.9607843137254901,0.845
170,0.08,0.054,4.8e-06,0.9607843137254901,0.85
171,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.855
172,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.86
173,0.1,0.052,5.999999999999999e-06,0.9411764705882353,0.865
174,0.08,0.054,4.8e-06,0.9607843137254901,0.87
175,0.12,0.052,7.199999999999999e-06,0.9411764705882353,0.875
176,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.88
177,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.885
178,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.89
179,0.08,0.052,4.8e-06,0.9411764705882353,0.895
180,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.9
181,0.12,0.054,7.199999999999999e-06,0.9607843137254901,0.905
182,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.91
183,0.14,0.052,8.4e-06,0.9411764705882353,0.915
184,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.92
185,0.14,0.054,8.4e-06,0.9607843137254901,0.925
186,0.1,0.054,5.999999999999999e-06,0.9607843137254901,0.93
187,0.14,0.052,8.4e-06,0.9411764705882353,0.935
188,0.14,0.054,8.4e-06,0.9607843137254901,0.9400000000000001
189,0.1,0.052,5.999999999999999e-06,0.9411764705882353,0.9450000000000001
190,0.14,0.054,8.4e-06,0.9607843137254901,0.9500000000000001
