Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.2,-0.152,1.2e-05,0.8983050847457629,0.0
1,0.2,-0.15,1.2e-05,0.9152542372881357,0.01
2,0.2,-0.15,1.2e-05,0.9152542372881357,0.02
3,0.2,-0.152,1.2e-05,0.8983050847457629,0.03
4,0.2,-0.152,1.2e-05,0.8983050847457629,0.04
5,0.216,-0.152,1.296e-05,0.8983050847457629,0.05
6,0.208,-0.152,1.2479999999999999e-05,0.8983050847457629,0.06
7,0.2,-0.152,1.2e-05,0.8983050847457629,0.07
8,0.216,-0.152,1.296e-05,0.8983050847457629,0.08
9,0.2,-0.152,1.2e-05,0.8983050847457629,0.09
10,0.216,-0.152,1.296e-05,0.8983050847457629,0.1
11,0.208,-0.15,1.2479999999999999e-05,0.9152542372881357,0.11
12,0.216,-0.152,1.296e-05,0.8983050847457629,0.12
13,0.208,-0.15,1.2479999999999999e-05,0.9152542372881357,0.13
14,0.208,-0.152,1.2479999999999999e-05,0.8983050847457629,0.14
15,0.224,-0.152,1.344e-05,0.8983050847457629,0.15
16,0.208,-0.152,1.2479999999999999e-05,0.8983050847457629,0.16
17,0.224,-0.15,1.344e-05,0.9152542372881357,0.17
18,0.224,-0.15,1.344e-05,0.9152542372881357,0.18
19,0.208,-0.152,1.2479999999999999e-05,0.8983050847457629,0.19
20,0.224,-0.152,1.344e-05,0.8983050847457629,0.2
21,0.208,-0.15,1.2479999999999999e-05,0.9152542372881357,0.21
22,0.216,-0.152,1.296e-05,0.8983050847457629,0.22
23,0.232,-0.15,1.392e-05,0.9152542372881357,0.23
24,0.216,-0.154,1.296e-05,0.8813559322033899,0.24
25,0.232,-0.15,1.392e-05,0.9152542372881357,0.25
26,0.224,-0.156,1.344e-05,0.8644067796610171,0.26
27,0.232,-0.15,1.392e-05,0.9152542372881357,0.27
28,0.224,-0.152,1.344e-05,0.8983050847457629,0.28
29,0.232,-0.15,1.392e-05,0.9152542372881357,0.29
30,0.232,-0.15,1.392e-05,0.9152542372881357,0.3
31,0.216,-0.152,1.296e-05,0.8983050847457629,0.31
32,0.232,-0.154,1.392e-05,0.8813559322033899,0.32
33,0.24,-0.15,1.44e-05,0.9152542372881357,0.33
34,0.232,-0.154,1.392e-05,0.8813559322033899,0.34
35,0.232,-0.15,1.392e-05,0.9152542372881357,0.35000000000000003
36,0.248,-0.152,1.488e-05,0.8983050847457629,0.36
37,0.232,-0.156,1.392e-05,0.8644067796610171,0.37
38,0.24,-0.154,1.44e-05,0.8813559322033899,0.38
39,0.224,-0.156,1.344e-05,0.8644067796610171,0.39
40,0.24,-0.15,1.44e-05,0.9152542372881357,0.4
41,0.232,-0.156,1.392e-05,0.8644067796610171,0.41000000000000003
42,0.24,-0.154,1.44e-05,0.8813559322033899,0.42
43,0.24,-0.15,1.44e-05,0.9152542372881357,0.43
44,0.24,-0.154,1.44e-05,0.8813559322033899,0.44
