Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.728,-0.0712,4.368e-05,0.6761904761904762,0.0
1,0.696,-0.0744,4.176e-05,0.6380952380952382,0.001
2,0.728,-0.0744,4.368e-05,0.6380952380952382,0.002
3,0.704,-0.0712,4.2239999999999995e-05,0.6761904761904762,0.003
4,0.728,-0.0736,4.368e-05,0.6476190476190476,0.004
5,0.704,-0.0704,4.2239999999999995e-05,0.6857142857142856,0.005
6,0.704,-0.0704,4.2239999999999995e-05,0.6857142857142856,0.006
7,0.736,-0.0736,4.416e-05,0.6476190476190476,0.007
8,0.704,-0.072,4.2239999999999995e-05,0.6666666666666667,0.008
9,0.736,-0.0688,4.416e-05,0.7047619047619047,0.009000000000000001
10,0.736,-0.0696,4.416e-05,0.6952380952380953,0.01
11,0.704,-0.072,4.2239999999999995e-05,0.6666666666666667,0.011
12,0.736,-0.072,4.416e-05,0.6666666666666667,0.012
13,0.704,-0.0704,4.2239999999999995e-05,0.6857142857142856,0.013000000000000001
14,0.704,-0.072,4.2239999999999995e-05,0.6666666666666667,0.014
15,0.736,-0.0696,4.416e-05,0.6952380952380953,0.015
16,0.744,-0.0696,4.464e-05,0.6952380952380953,0.016
17,0.704,-0.0736,4.2239999999999995e-05,0.6476190476190476,0.017
18,0.736,-0.072,4.416e-05,0.6666666666666667,0.018000000000000002
19,0.712,-0.0744,4.272e-05,0.6380952380952382,0.019
20,0.712,-0.0736,4.272e-05,0.6476190476190476,0.02
21,0.736,-0.0704,4.416e-05,0.6857142857142856,0.021
22,0.712,-0.0712,4.272e-05,0.6761904761904762,0.022
23,0.736,-0.0736,4.416e-05,0.6476190476190476,0.023
24,0.712,-0.0736,4.272e-05,0.6476190476190476,0.024
25,0.744,-0.0704,4.464e-05,0.6857142857142856,0.025
26,0.712,-0.072,4.272e-05,0.6666666666666667,0.026000000000000002
27,0.744,-0.0696,4.464e-05,0.6952380952380953,0.027
28,0.744,-0.0696,4.464e-05,0.6952380952380953,0.028
29,0.712,-0.0736,4.272e-05,0.6476190476190476,0.029
30,0.744,-0.072,4.464e-05,0.6666666666666667,0.03
31,0.712,-0.0736,4.272e-05,0.6476190476190476,0.031
32,0.744,-0.072,4.464e-05,0.6666666666666667,0.032
33,0.712,-0.0752,4.272e-05,0.6285714285714286,0.033
34,0.744,-0.0728,4.464e-05,0.6571428571428571,0.034
35,0.712,-0.0752,4.272e-05,0.6285714285714286,0.035
36,0.744,-0.0744,4.464e-05,0.6380952380952382,0.036000000000000004
37,0.712,-0.0712,4.272e-05,0.6761904761904762,0.037
38,0.744,-0.0736,4.464e-05,0.6476190476190476,0.038
39,0.712,-0.0712,4.272e-05,0.6761904761904762,0.039
40,0.72,-0.0744,4.32e-05,0.6380952380952382,0.04
41,0.752,-0.0704,4.512e-05,0.6857142857142856,0.041
42,0.72,-0.072,4.32e-05,0.6666666666666667,0.042
43,0.744,-0.0696,4.464e-05,0.6952380952380953,0.043000000000000003
44,0.72,-0.0696,4.32e-05,0.6952380952380953,0.044
45,0.752,-0.0736,4.512e-05,0.6476190476190476,0.045
46,0.752,-0.072,4.512e-05,0.6666666666666667,0.046
47,0.72,-0.0736,4.32e-05,0.6476190476190476,0.047
48,0.72,-0.072,4.32e-05,0.6666666666666667,0.048
49,0.76,-0.0744,4.5600000000000004e-05,0.6380952380952382,0.049
50,0.72,-0.0728,4.32e-05,0.6571428571428571,0.05
51,0.76,-0.076,4.5600000000000004e-05,0.6190476190476191,0.051000000000000004
52,0.72,-0.0752,4.32e-05,0.6285714285714286,0.052000000000000005
53,0.76,-0.0728,4.5600000000000004e-05,0.6571428571428571,0.053
54,0.72,-0.0744,4.32e-05,0.6380952380952382,0.054
55,0.76,-0.0712,4.5600000000000004e-05,0.6761904761904762,0.055
56,0.728,-0.072,4.368e-05,0.6666666666666667,0.056
57,0.76,-0.0752,4.5600000000000004e-05,0.6285714285714286,0.057
58,0.728,-0.0752,4.368e-05,0.6285714285714286,0.058
59,0.76,-0.072,4.5600000000000004e-05,0.6666666666666667,0.059000000000000004
60,0.728,-0.072,4.368e-05,0.6666666666666667,0.06
61,0.76,-0.0744,4.5600000000000004e-05,0.6380952380952382,0.061
62,0.728,-0.0728,4.368e-05,0.6571428571428571,0.062
63,0.768,-0.0752,4.608e-05,0.6285714285714286,0.063
64,0.728,-0.0744,4.368e-05,0.6380952380952382,0.064
