Sequence,CH1,CH2,Bfield,CH2norm,time
0,0.9,0.174,5.4000000000000005e-05,0.3999999999999999,0.0
1,0.94,0.172,5.6399999999999995e-05,0.3818181818181817,0.01
2,0.94,0.172,5.6399999999999995e-05,0.3818181818181817,0.02
3,0.9,0.174,5.4000000000000005e-05,0.3999999999999999,0.03
4,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.04
5,0.94,0.174,5.6399999999999995e-05,0.3999999999999999,0.05
6,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.06
7,0.94,0.174,5.6399999999999995e-05,0.3999999999999999,0.07
8,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.08
9,0.96,0.174,5.76e-05,0.3999999999999999,0.09
10,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.1
11,0.96,0.172,5.76e-05,0.3818181818181817,0.11
12,0.92,0.174,5.520000000000001e-05,0.3999999999999999,0.12
13,0.96,0.172,5.76e-05,0.3818181818181817,0.13
14,0.92,0.174,5.520000000000001e-05,0.3999999999999999,0.14
15,0.96,0.172,5.76e-05,0.3818181818181817,0.15
16,0.96,0.174,5.76e-05,0.3999999999999999,0.16
17,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.17
18,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.18
19,0.96,0.174,5.76e-05,0.3999999999999999,0.19
20,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.2
21,0.96,0.174,5.76e-05,0.3999999999999999,0.21
22,0.92,0.174,5.520000000000001e-05,0.3999999999999999,0.22
23,0.96,0.172,5.76e-05,0.3818181818181817,0.23
24,0.96,0.174,5.76e-05,0.3999999999999999,0.24
25,0.94,0.172,5.6399999999999995e-05,0.3818181818181817,0.25
26,0.94,0.174,5.6399999999999995e-05,0.3999999999999999,0.26
27,0.96,0.172,5.76e-05,0.3818181818181817,0.27
28,0.96,0.174,5.76e-05,0.3999999999999999,0.28
29,0.92,0.172,5.520000000000001e-05,0.3818181818181817,0.29
30,0.94,0.174,5.6399999999999995e-05,0.3999999999999999,0.3
31,0.96,0.172,5.76e-05,0.3818181818181817,0.31
32,0.96,0.172,5.76e-05,0.3818181818181817,0.32
33,0.94,0.174,5.6399999999999995e-05,0.3999999999999999,0.33
34,0.98,0.172,5.88e-05,0.3818181818181817,0.34
35,0.92,0.174,5.520000000000001e-05,0.3999999999999999,0.35000000000000003
36,0.94,0.17,5.6399999999999995e-05,0.36363636363636376,0.36
37,0.98,0.174,5.88e-05,0.3999999999999999,0.37
38,0.94,0.172,5.6399999999999995e-05,0.3818181818181817,0.38
39,0.98,0.17,5.88e-05,0.36363636363636376,0.39
40,0.96,0.17,5.76e-05,0.36363636363636376,0.4
41,0.94,0.17,5.6399999999999995e-05,0.36363636363636376,0.41000000000000003
42,0.98,0.17,5.88e-05,0.36363636363636376,0.42
43,0.94,0.17,5.6399999999999995e-05,0.36363636363636376,0.43
44,0.98,0.17,5.88e-05,0.36363636363636376,0.44
45,0.94,0.17,5.6399999999999995e-05,0.36363636363636376,0.45
46,0.96,0.17,5.76e-05,0.36363636363636376,0.46
47,0.98,0.172,5.88e-05,0.3818181818181817,0.47000000000000003
48,0.98,0.17,5.88e-05,0.36363636363636376,0.48
49,0.94,0.17,5.6399999999999995e-05,0.36363636363636376,0.49
50,0.98,0.17,5.88e-05,0.36363636363636376,0.5
51,0.94,0.172,5.6399999999999995e-05,0.3818181818181817,0.51
52,1.0,0.17,6e-05,0.36363636363636376,0.52
53,0.96,0.17,5.76e-05,0.36363636363636376,0.53
54,0.98,0.17,5.88e-05,0.36363636363636376,0.54
55,0.94,0.17,5.6399999999999995e-05,0.36363636363636376,0.55
56,0.98,0.17,5.88e-05,0.36363636363636376,0.56
57,1.0,0.17,6e-05,0.36363636363636376,0.5700000000000001
58,0.96,0.17,5.76e-05,0.36363636363636376,0.58
59,1.0,0.17,6e-05,0.36363636363636376,0.59
60,0.96,0.17,5.76e-05,0.36363636363636376,0.6
61,1.0,0.17,6e-05,0.36363636363636376,0.61
62,1.0,0.17,6e-05,0.36363636363636376,0.62
63,0.96,0.17,5.76e-05,0.36363636363636376,0.63
64,-0.02,0.172,-1.2000000000000002e-06,0.3818181818181817,0.64
65,0.02,0.192,1.2000000000000002e-06,0.5636363636363637,0.65
66,0.02,0.198,1.2000000000000002e-06,0.6181818181818183,0.66
67,-0.02,0.224,-1.2000000000000002e-06,0.8545454545454546,0.67
68,0.02,0.224,1.2000000000000002e-06,0.8545454545454546,0.68
69,-0.02,0.234,-1.2000000000000002e-06,0.9454545454545457,0.6900000000000001
70,0.0,0.232,0.0,0.9272727272727275,0.7000000000000001
71,0.02,0.236,1.2000000000000002e-06,0.9636363636363636,0.71
72,0.02,0.234,1.2000000000000002e-06,0.9454545454545457,0.72
73,-0.02,0.232,-1.2000000000000002e-06,0.9272727272727275,0.73
74,0.0,0.234,0.0,0.9454545454545457,0.74
75,0.02,0.23,1.2000000000000002e-06,0.9090909090909093,0.75
76,0.0,0.234,0.0,0.9454545454545457,0.76
77,0.04,0.23,2.4000000000000003e-06,0.9090909090909093,0.77
78,0.02,0.23,1.2000000000000002e-06,0.9090909090909093,0.78
79,0.0,0.23,0.0,0.9090909090909093,0.79
80,0.0,0.23,0.0,0.9090909090909093,0.8
81,0.02,0.232,1.2000000000000002e-06,0.9272727272727275,0.81
82,0.0,0.23,0.0,0.9090909090909093,0.8200000000000001
83,0.04,0.232,2.4000000000000003e-06,0.9272727272727275,0.8300000000000001
84,0.0,0.232,0.0,0.9272727272727275,0.84
85,0.04,0.23,2.4000000000000003e-06,0.9090909090909093,0.85
